"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Jun 10 20:18:28 GMT 2025","Tue Jun 10 20:18:30 GMT 2025","1714","","tests.BrowserAgnosticFeaturesTests","","tests.BrowserAgnosticFeaturesTests","cancelLaunchPromptDialogBoxTest","cancelLaunchPromptDialogBoxTest()",""
"passed","Tue Jun 10 20:25:36 GMT 2025","Tue Jun 10 20:25:37 GMT 2025","763","","tests.WebFormTests","","tests.WebFormTests","datePickerTest","datePickerTest()",""
"passed","Tue Jun 10 20:25:38 GMT 2025","Tue Jun 10 20:25:39 GMT 2025","757","","tests.WebFormTests","","tests.WebFormTests","rangePickerTest","rangePickerTest()",""
"broken","Tue Jun 10 20:18:24 GMT 2025","Tue Jun 10 20:18:26 GMT 2025","1725","","tests.BrowserAgnosticFeaturesTests","","tests.BrowserAgnosticFeaturesTests","iFrameTest","iFrameTest()",""
"broken","Tue Jun 10 20:19:18 GMT 2025","Tue Jun 10 20:19:19 GMT 2025","1665","","tests.HomePageTests","","tests.HomePageTests","linksTest","linksTest(String, String, String, Class) [18] //h5[text()='Chapter 5. Browser-Specific Manipulation']/../a[contains(@href,'get-user-media')], get-user-media.html, Get user media, class pageObjects.GetUserMediaPage",""
"broken","Tue Jun 10 20:19:19 GMT 2025","Tue Jun 10 20:19:21 GMT 2025","1828","","tests.HomePageTests","","tests.HomePageTests","linksTest","linksTest(String, String, String, Class) [19] //h5[text()='Chapter 5. Browser-Specific Manipulation']/../a[contains(@href,'multilanguage')], multilanguage.html, , class pageObjects.MultilanguagePage",""
"broken","Tue Jun 10 20:18:40 GMT 2025","Tue Jun 10 20:18:42 GMT 2025","1692","","tests.DownloadFileTests","","tests.DownloadFileTests","DownloadPngFileTest","DownloadPngFileTest()",""
"broken","Tue Jun 10 20:25:20 GMT 2025","Tue Jun 10 20:25:21 GMT 2025","1679","","tests.LoginFormTests","","tests.LoginFormTests","invalidCredentialsTest","invalidCredentialsTest(String, String) [3] username, password",""
"passed","Tue Jun 10 20:25:44 GMT 2025","Tue Jun 10 20:25:44 GMT 2025","735","","tests.WebFormTests","","tests.WebFormTests","textInputTest","textInputTest()",""
"broken","Tue Jun 10 20:18:33 GMT 2025","Tue Jun 10 20:18:34 GMT 2025","580","","tests.BrowserAgnosticFeaturesTests","","tests.BrowserAgnosticFeaturesTests","localStorageTest","localStorageTest()",""
"broken","Tue Jun 10 20:18:42 GMT 2025","Tue Jun 10 20:18:44 GMT 2025","1656","","tests.DragAndDropTests","","tests.DragAndDropTests","dragAndDropTest","dragAndDropTest()",""
"broken","Tue Jun 10 20:25:26 GMT 2025","Tue Jun 10 20:25:28 GMT 2025","1842","","tests.WebFormTests","","tests.WebFormTests","selectorsTest","selectorsTest()",""
"broken","Tue Jun 10 20:25:30 GMT 2025","Tue Jun 10 20:25:32 GMT 2025","1831","","tests.WebFormTests","","tests.WebFormTests","checkboxTest","checkboxTest()",""
"passed","Tue Jun 10 20:25:42 GMT 2025","Tue Jun 10 20:25:43 GMT 2025","779","","tests.WebFormTests","","tests.WebFormTests","passwordInputTest","passwordInputTest()",""
"broken","Tue Jun 10 20:25:18 GMT 2025","Tue Jun 10 20:25:20 GMT 2025","1680","","tests.LoginFormTests","","tests.LoginFormTests","invalidCredentialsTest","invalidCredentialsTest(String, String) [2]         ,         ",""
"broken","Tue Jun 10 20:18:56 GMT 2025","Tue Jun 10 20:18:58 GMT 2025","1649","","tests.HomePageTests","","tests.HomePageTests","linksTest","linksTest(String, String, String, Class) [4] //h5[text()='Chapter 3. WebDriver Fundamentals']/../a[contains(@href,'mouse-over')], mouse-over.html, Mouse over, class pageObjects.MouseOverPage",""
"broken","Tue Jun 10 20:19:05 GMT 2025","Tue Jun 10 20:19:07 GMT 2025","1666","","tests.HomePageTests","","tests.HomePageTests","linksTest","linksTest(String, String, String, Class) [10] //a[@href='infinite-scroll.html'], infinite-scroll.html, Infinite scroll, class pageObjects.InfiniteScrollPage",""
"broken","Tue Jun 10 20:19:16 GMT 2025","Tue Jun 10 20:19:18 GMT 2025","1660","","tests.HomePageTests","","tests.HomePageTests","linksTest","linksTest(String, String, String, Class) [17] //h5[text()='Chapter 5. Browser-Specific Manipulation']/../a[contains(@href,'notifications')], notifications.html, Notifications, class pageObjects.NotificationsPage",""
"broken","Tue Jun 10 20:18:58 GMT 2025","Tue Jun 10 20:19:00 GMT 2025","1663","","tests.HomePageTests","","tests.HomePageTests","linksTest","linksTest(String, String, String, Class) [5] //h5[text()='Chapter 3. WebDriver Fundamentals']/../a[contains(@href,'drag-and-drop')], drag-and-drop.html, Drag and drop, class pageObjects.DragAndDropPage",""
"broken","Tue Jun 10 20:25:34 GMT 2025","Tue Jun 10 20:25:36 GMT 2025","1824","","tests.WebFormTests","","tests.WebFormTests","returnToIndexLinkTest","returnToIndexLinkTest()",""
"broken","Tue Jun 10 20:18:22 GMT 2025","Tue Jun 10 20:18:24 GMT 2025","1728","","tests.BrowserAgnosticFeaturesTests","","tests.BrowserAgnosticFeaturesTests","cookieTest","cookieTest()",""
"passed","Tue Jun 10 20:18:50 GMT 2025","Tue Jun 10 20:18:52 GMT 2025","1848","","tests.HeaderTests","","tests.HeaderTests","logoTest","logoTest()",""
"passed","Tue Jun 10 20:25:43 GMT 2025","Tue Jun 10 20:25:44 GMT 2025","1049","","tests.WebFormTests","","tests.WebFormTests","movingRangePickerTest","movingRangePickerTest()",""
"broken","Tue Jun 10 20:22:56 GMT 2025","Tue Jun 10 20:25:18 GMT 2025","142159","","tests.LoginFormTests","","tests.LoginFormTests","invalidCredentialsTest","invalidCredentialsTest(String, String) [1] , ",""
"broken","Tue Jun 10 20:18:31 GMT 2025","Tue Jun 10 20:18:33 GMT 2025","1681","","tests.BrowserAgnosticFeaturesTests","","tests.BrowserAgnosticFeaturesTests","launchAlertDialogBoxTest","launchAlertDialogBoxTest()",""
"broken","Tue Jun 10 20:19:07 GMT 2025","Tue Jun 10 20:19:09 GMT 2025","1662","","tests.HomePageTests","","tests.HomePageTests","linksTest","linksTest(String, String, String, Class) [11] //a[@href='shadow-dom.html'], shadow-dom.html, Shadow DOM, class pageObjects.ShadowDomPage",""
"broken","Tue Jun 10 20:18:34 GMT 2025","Tue Jun 10 20:18:35 GMT 2025","1679","","tests.BrowserAgnosticFeaturesTests","","tests.BrowserAgnosticFeaturesTests","closeLaunchModalDialogBoxTest","closeLaunchModalDialogBoxTest()",""
