"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 12 01:37:50 GMT 2025","Fri Sep 12 01:37:51 GMT 2025","639","","ui.tests.HomePageTests","","ui.tests.HomePageTests","linksTest","linksTest(String, String, String, Class) [22] Slow login, login-slow.html, Slow login form, class ui.pageObjects.SlowLoginFormPage",""
"passed","Fri Sep 12 01:37:31 GMT 2025","Fri Sep 12 01:37:31 GMT 2025","661","","ui.tests.DownloadFileTests","","ui.tests.DownloadFileTests","DownloadPngFileTest","DownloadPngFileTest()",""
"passed","Fri Sep 12 01:37:25 GMT 2025","Fri Sep 12 01:37:25 GMT 2025","678","","ui.tests.BrowserAgnosticFeaturesTests","","ui.tests.BrowserAgnosticFeaturesTests","cancelLaunchPromptDialogBoxTest","cancelLaunchPromptDialogBoxTest()",""
"passed","Fri Sep 12 01:37:11 GMT 2025","Fri Sep 12 01:37:12 GMT 2025","223","","ui.TrainingLocatorsTests","","ui.TrainingLocatorsTests","inputTest","inputTest()",""
"passed","Fri Sep 12 01:37:46 GMT 2025","Fri Sep 12 01:37:47 GMT 2025","645","","ui.tests.HomePageTests","","ui.tests.HomePageTests","linksTest","linksTest(String, String, String, Class) [15] Web storage, web-storage.html, Web storage, class ui.pageObjects.WebStoragePage",""
"passed","Fri Sep 12 01:37:14 GMT 2025","Fri Sep 12 01:37:22 GMT 2025","7549","","ui.tests.BrowserAgnosticFeaturesTests","","ui.tests.BrowserAgnosticFeaturesTests","infiniteScrollTest","infiniteScrollTest()",""
"skipped","Fri Sep 12 01:38:16 GMT 2025","Fri Sep 12 01:38:16 GMT 2025","0","","ui.tests.LoginFormPlaywrightTests","","ui.tests.LoginFormPlaywrightTests","invalidCredentialsTest","invalidCredentialsTest(String, String)",""
"broken","Fri Sep 12 01:38:16 GMT 2025","Fri Sep 12 01:38:16 GMT 2025","14","","ui.tests.WebFormTests","","ui.tests.WebFormTests","selectorsTest","selectorsTest()",""
"broken","Fri Sep 12 01:38:16 GMT 2025","Fri Sep 12 01:38:16 GMT 2025","30","","ui.tests.WebFormTests","","ui.tests.WebFormTests","returnToIndexLinkTest","returnToIndexLinkTest()",""
"broken","Fri Sep 12 01:38:16 GMT 2025","Fri Sep 12 01:38:16 GMT 2025","26","","ui.tests.WebFormTests","","ui.tests.WebFormTests","dropdownDatalistTest","dropdownDatalistTest()",""
