"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Sep 05 01:41:31 GMT 2025","Fri Sep 05 01:41:31 GMT 2025","11","","ui.tests.NavigationTests","","ui.tests.NavigationTests","previousButtonTest","previousButtonTest()",""
"passed","Fri Sep 05 01:41:00 GMT 2025","Fri Sep 05 01:41:00 GMT 2025","544","","ui.tests.HomePageTests","","ui.tests.HomePageTests","linksTest","linksTest(String, String, String, Class) [14] Dialog boxes, dialog-boxes.html, Dialog boxes, class ui.pageObjects.DialogBoxesPage",""
"passed","Fri Sep 05 01:40:36 GMT 2025","Fri Sep 05 01:40:38 GMT 2025","1376","","ui.tests.BrowserAgnosticFeaturesTests","","ui.tests.BrowserAgnosticFeaturesTests","saveLaunchModalDialogBoxTest","saveLaunchModalDialogBoxTest()",""
"broken","Fri Sep 05 01:41:31 GMT 2025","Fri Sep 05 01:41:31 GMT 2025","29","","ui.tests.WebFormTests","","ui.tests.WebFormTests","datePickerTest","datePickerTest()",""
"passed","Fri Sep 05 01:40:24 GMT 2025","Fri Sep 05 01:40:24 GMT 2025","236","","ui.TrainingLocatorsTests","","ui.TrainingLocatorsTests","inputTest","inputTest()",""
"passed","Fri Sep 05 01:41:22 GMT 2025","Fri Sep 05 01:41:31 GMT 2025","8362","","ui.tests.LoadingImagesSelenideTests","","ui.tests.LoadingImagesSelenideTests","loadingImagesTest","loadingImagesTest(String) [4] landscape",""
"skipped","Fri Sep 05 01:41:31 GMT 2025","Fri Sep 05 01:41:31 GMT 2025","0","","ui.tests.LoginFormPlaywrightTests","","ui.tests.LoginFormPlaywrightTests","invalidCredentialsTest","invalidCredentialsTest(String, String)",""
"failed","Fri Sep 05 01:40:18 GMT 2025","Fri Sep 05 01:40:20 GMT 2025","1391","","api.UserApiTests","","api.UserApiTests","deleteUserTest","deleteUserTest()",""
"broken","Fri Sep 05 01:41:31 GMT 2025","Fri Sep 05 01:41:31 GMT 2025","16","","ui.tests.LoginFormTests","","ui.tests.LoginFormTests","validCredentialsTest","validCredentialsTest()",""
"passed","Fri Sep 05 01:40:49 GMT 2025","Fri Sep 05 01:40:51 GMT 2025","1997","","ui.tests.HeaderTests","","ui.tests.HeaderTests","logoTest","logoTest()",""
"passed","Fri Sep 05 01:40:44 GMT 2025","Fri Sep 05 01:40:45 GMT 2025","792","","ui.tests.DownloadFileTests","","ui.tests.DownloadFileTests","DownloadPngFileTest","DownloadPngFileTest()",""
"passed","Fri Sep 05 01:40:27 GMT 2025","Fri Sep 05 01:40:35 GMT 2025","7748","","ui.tests.BrowserAgnosticFeaturesTests","","ui.tests.BrowserAgnosticFeaturesTests","infiniteScrollTest","infiniteScrollTest()",""
"passed","Fri Sep 05 01:40:45 GMT 2025","Fri Sep 05 01:40:46 GMT 2025","951","","ui.tests.DragAndDropTests","","ui.tests.DragAndDropTests","dragAndDropTest","dragAndDropTest()",""
"broken","Fri Sep 05 01:41:31 GMT 2025","Fri Sep 05 01:41:31 GMT 2025","18","","ui.tests.LoginFormTests","","ui.tests.LoginFormTests","invalidCredentialsTest","invalidCredentialsTest(String, String) [2]         ,         ",""
"passed","Fri Sep 05 01:40:39 GMT 2025","Fri Sep 05 01:40:39 GMT 2025","781","","ui.tests.BrowserAgnosticFeaturesTests","","ui.tests.BrowserAgnosticFeaturesTests","acceptLaunchConfirmDialogBoxTest","acceptLaunchConfirmDialogBoxTest()",""
"passed","Fri Sep 05 01:40:43 GMT 2025","Fri Sep 05 01:40:44 GMT 2025","1305","","ui.tests.DownloadFileTests","","ui.tests.DownloadFileTests","DownloadPdfFileTest","DownloadPdfFileTest()",""
"passed","Fri Sep 05 01:40:47 GMT 2025","Fri Sep 05 01:40:48 GMT 2025","680","","ui.tests.DropdownMenuTests","","ui.tests.DropdownMenuTests","doubleClickTest","doubleClickTest()",""
"passed","Fri Sep 05 01:40:35 GMT 2025","Fri Sep 05 01:40:36 GMT 2025","855","","ui.tests.BrowserAgnosticFeaturesTests","","ui.tests.BrowserAgnosticFeaturesTests","cookieTest","cookieTest()",""
"broken","Fri Sep 05 01:41:31 GMT 2025","Fri Sep 05 01:41:31 GMT 2025","19","","ui.tests.LoginFormTests","","ui.tests.LoginFormTests","invalidCredentialsTest","invalidCredentialsTest(String, String) [3] username, password",""
"broken","Fri Sep 05 01:41:31 GMT 2025","Fri Sep 05 01:41:31 GMT 2025","30","","ui.tests.WebFormTests","","ui.tests.WebFormTests","dropdownDatalistTest","dropdownDatalistTest()",""
"passed","Fri Sep 05 01:41:04 GMT 2025","Fri Sep 05 01:41:05 GMT 2025","645","","ui.tests.HomePageTests","","ui.tests.HomePageTests","linksTest","linksTest(String, String, String, Class) [21] Login form, login-form.html, Login form, class ui.pageObjects.LoginFormPage",""
"passed","Fri Sep 05 01:41:08 GMT 2025","Fri Sep 05 01:41:09 GMT 2025","877","","ui.tests.HomePageTests","","ui.tests.HomePageTests","frameTest","frameTest()",""
"broken","Fri Sep 05 01:41:31 GMT 2025","Fri Sep 05 01:41:31 GMT 2025","12","","ui.tests.WebFormTests","","ui.tests.WebFormTests","dropdownDefaultOptionTest","dropdownDefaultOptionTest()",""
"passed","Fri Sep 05 01:40:52 GMT 2025","Fri Sep 05 01:40:53 GMT 2025","540","","ui.tests.HomePageTests","","ui.tests.HomePageTests","linksTest","linksTest(String, String, String, Class) [3] Dropdown menu, dropdown-menu.html, Dropdown menu, class ui.pageObjects.DropdownMenuPage",""
"passed","Fri Sep 05 01:41:12 GMT 2025","Fri Sep 05 01:41:16 GMT 2025","4328","","ui.tests.LoadingImagesSelenideTests","","ui.tests.LoadingImagesSelenideTests","loadingImagesTest","loadingImagesTest(String) [2] calendar",""
"broken","Fri Sep 05 01:41:31 GMT 2025","Fri Sep 05 01:41:31 GMT 2025","12","","ui.tests.WebFormTests","","ui.tests.WebFormTests","dropdownSelectTest","dropdownSelectTest()",""
"passed","Fri Sep 05 01:40:49 GMT 2025","Fri Sep 05 01:40:49 GMT 2025","570","","ui.tests.HeaderTests","","ui.tests.HeaderTests","HeaderTitleTest","HeaderTitleTest()",""
"passed","Fri Sep 05 01:41:02 GMT 2025","Fri Sep 05 01:41:03 GMT 2025","721","","ui.tests.HomePageTests","","ui.tests.HomePageTests","linksTest","linksTest(String, String, String, Class) [18] Get user media, get-user-media.html, Get user media, class ui.pageObjects.GetUserMediaPage",""
"passed","Fri Sep 05 01:40:57 GMT 2025","Fri Sep 05 01:40:58 GMT 2025","699","","ui.tests.HomePageTests","","ui.tests.HomePageTests","linksTest","linksTest(String, String, String, Class) [10] Infinite scroll, infinite-scroll.html, Infinite scroll, class ui.pageObjects.InfiniteScrollPage",""
"passed","Fri Sep 05 01:40:58 GMT 2025","Fri Sep 05 01:40:58 GMT 2025","611","","ui.tests.HomePageTests","","ui.tests.HomePageTests","linksTest","linksTest(String, String, String, Class) [11] Shadow DOM, shadow-dom.html, Shadow DOM, class ui.pageObjects.ShadowDomPage",""
"broken","Fri Sep 05 01:41:31 GMT 2025","Fri Sep 05 01:41:31 GMT 2025","13","","ui.tests.WebFormTests","","ui.tests.WebFormTests","editTextInputTest","editTextInputTest()",""
"broken","Fri Sep 05 01:41:31 GMT 2025","Fri Sep 05 01:41:31 GMT 2025","29","","ui.tests.LoginFormTests","","ui.tests.LoginFormTests","invalidCredentialsTest","invalidCredentialsTest(String, String) [1] , ",""
"broken","Fri Sep 05 01:41:31 GMT 2025","Fri Sep 05 01:41:31 GMT 2025","10","","ui.tests.WebFormTests","","ui.tests.WebFormTests","readOnlyTest","readOnlyTest()",""
"failed","Fri Sep 05 01:40:14 GMT 2025","Fri Sep 05 01:40:16 GMT 2025","1870","","api.UserApiTests","","api.UserApiTests","updateUserTest","updateUserTest()",""
"passed","Fri Sep 05 01:41:01 GMT 2025","Fri Sep 05 01:41:02 GMT 2025","625","","ui.tests.HomePageTests","","ui.tests.HomePageTests","linksTest","linksTest(String, String, String, Class) [17] Notifications, notifications.html, Notifications, class ui.pageObjects.NotificationsPage",""
"passed","Fri Sep 05 01:40:58 GMT 2025","Fri Sep 05 01:40:59 GMT 2025","832","","ui.tests.HomePageTests","","ui.tests.HomePageTests","linksTest","linksTest(String, String, String, Class) [12] Cookies, cookies.html, Cookies, class ui.pageObjects.CookiesPage",""
"broken","Fri Sep 05 01:41:31 GMT 2025","Fri Sep 05 01:41:31 GMT 2025","13","","ui.tests.WebFormTests","","ui.tests.WebFormTests","disabledInputTest","disabledInputTest()",""
