"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 25 01:58:52 GMT 2025","Fri Jul 25 01:58:52 GMT 2025","214","","ui.TrainingLocatorsTests","","ui.TrainingLocatorsTests","inputTest","inputTest()",""
"passed","Fri Jul 25 01:59:28 GMT 2025","Fri Jul 25 01:59:29 GMT 2025","666","","ui.tests.HomePageTests","","ui.tests.HomePageTests","linksTest","linksTest(String, String, String, Class) [18] Get user media, get-user-media.html, Get user media, class ui.pageObjects.GetUserMediaPage",""
"passed","Fri Jul 25 01:59:22 GMT 2025","Fri Jul 25 01:59:23 GMT 2025","610","","ui.tests.HomePageTests","","ui.tests.HomePageTests","linksTest","linksTest(String, String, String, Class) [9] Long page, long-page.html, This is a long page, class ui.pageObjects.LongPagePage",""
"passed","Fri Jul 25 02:05:07 GMT 2025","Fri Jul 25 02:05:08 GMT 2025","829","","ui.tests.LoginFormTests","","ui.tests.LoginFormTests","validCredentialsTest","validCredentialsTest()",""
"passed","Fri Jul 25 01:59:08 GMT 2025","Fri Jul 25 01:59:09 GMT 2025","730","","ui.tests.BrowserAgnosticFeaturesTests","","ui.tests.BrowserAgnosticFeaturesTests","acceptLaunchPromptDialogBoxTest","acceptLaunchPromptDialogBoxTest()",""
"passed","Fri Jul 25 01:59:12 GMT 2025","Fri Jul 25 01:59:13 GMT 2025","713","","ui.tests.DropdownMenuTests","","ui.tests.DropdownMenuTests","leftClickTest","leftClickTest()",""
"passed","Fri Jul 25 01:59:15 GMT 2025","Fri Jul 25 01:59:16 GMT 2025","609","","ui.tests.HeaderTests","","ui.tests.HeaderTests","HeaderTitleTest","HeaderTitleTest()",""
"broken","Fri Jul 25 01:59:56 GMT 2025","Fri Jul 25 02:02:56 GMT 2025","180012","","ui.tests.LoginFormTests","","ui.tests.LoginFormTests","invalidCredentialsTest","invalidCredentialsTest(String, String) [1] , ",""
"passed","Fri Jul 25 02:05:12 GMT 2025","Fri Jul 25 02:05:12 GMT 2025","640","","ui.tests.WebFormTests","","ui.tests.WebFormTests","checkboxTest","checkboxTest()",""
"passed","Fri Jul 25 02:05:22 GMT 2025","Fri Jul 25 02:05:23 GMT 2025","654","","ui.tests.WebFormTests","","ui.tests.WebFormTests","textInputTest","textInputTest()",""
"skipped","Fri Jul 25 01:59:05 GMT 2025","Fri Jul 25 01:59:05 GMT 2025","0","","ui.tests.BrowserAgnosticFeaturesTests","","ui.tests.BrowserAgnosticFeaturesTests","storageTest","storageTest()",""
