"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 03 01:38:30 GMT 2025","Fri Oct 03 01:38:31 GMT 2025","741","","ui.tests.DropdownMenuTests","","ui.tests.DropdownMenuTests","leftClickTest","leftClickTest()",""
"passed","Fri Oct 03 01:38:46 GMT 2025","Fri Oct 03 01:38:47 GMT 2025","658","","ui.tests.HomePageTests","","ui.tests.HomePageTests","linksTest","linksTest(String, String, String, Class) [18] Get user media, get-user-media.html, Get user media, class ui.pageObjects.GetUserMediaPage",""
"broken","Fri Oct 03 01:39:14 GMT 2025","Fri Oct 03 01:39:14 GMT 2025","26","","ui.tests.NavigationTests","","ui.tests.NavigationTests","previousButtonTest","previousButtonTest()",""
"passed","Fri Oct 03 01:38:44 GMT 2025","Fri Oct 03 01:38:45 GMT 2025","598","","ui.tests.HomePageTests","","ui.tests.HomePageTests","linksTest","linksTest(String, String, String, Class) [15] Web storage, web-storage.html, Web storage, class ui.pageObjects.WebStoragePage",""
"passed","Fri Oct 03 01:38:51 GMT 2025","Fri Oct 03 01:38:52 GMT 2025","682","","ui.tests.HomePageTests","","ui.tests.HomePageTests","frameTest","frameTest()",""
"failed","Fri Oct 03 01:38:04 GMT 2025","Fri Oct 03 01:38:05 GMT 2025","327","","api.UserApiTests","","api.UserApiTests","updateUserTest","updateUserTest()",""
"passed","Fri Oct 03 01:38:32 GMT 2025","Fri Oct 03 01:38:33 GMT 2025","664","","ui.tests.HeaderTests","","ui.tests.HeaderTests","HeaderDescriptionTest","HeaderDescriptionTest()",""
"broken","Fri Oct 03 01:39:14 GMT 2025","Fri Oct 03 01:39:14 GMT 2025","13","","ui.tests.WebFormTests","","ui.tests.WebFormTests","dropdownDefaultOptionTest","dropdownDefaultOptionTest()",""
"broken","Fri Oct 03 01:39:14 GMT 2025","Fri Oct 03 01:39:14 GMT 2025","27","","ui.tests.LoginFormTests","","ui.tests.LoginFormTests","validCredentialsTest","validCredentialsTest()",""
"passed","Fri Oct 03 01:38:28 GMT 2025","Fri Oct 03 01:38:29 GMT 2025","638","","ui.tests.DownloadFileTests","","ui.tests.DownloadFileTests","DownloadPngFileTest","DownloadPngFileTest()",""
"passed","Fri Oct 03 01:38:31 GMT 2025","Fri Oct 03 01:38:32 GMT 2025","719","","ui.tests.DropdownMenuTests","","ui.tests.DropdownMenuTests","doubleClickTest","doubleClickTest()",""
"passed","Fri Oct 03 01:38:35 GMT 2025","Fri Oct 03 01:38:36 GMT 2025","712","","ui.tests.HomePageTests","","ui.tests.HomePageTests","linksTest","linksTest(String, String, String, Class) [1] Web form, web-form.html, Web form, class ui.pageObjects.WebFormPage",""
"passed","Fri Oct 03 01:38:05 GMT 2025","Fri Oct 03 01:38:05 GMT 2025","186","","api.UserApiTests","","api.UserApiTests","createDefaultUserTest","createDefaultUserTest()",""
"broken","Fri Oct 03 01:39:15 GMT 2025","Fri Oct 03 01:39:15 GMT 2025","23","","ui.tests.WebFormTests","","ui.tests.WebFormTests","passwordInputTest","passwordInputTest()",""
"passed","Fri Oct 03 01:38:40 GMT 2025","Fri Oct 03 01:38:41 GMT 2025","676","","ui.tests.HomePageTests","","ui.tests.HomePageTests","linksTest","linksTest(String, String, String, Class) [9] Long page, long-page.html, This is a long page, class ui.pageObjects.LongPagePage",""
"passed","Fri Oct 03 01:38:09 GMT 2025","Fri Oct 03 01:38:10 GMT 2025","601","","ui.TrainingLocatorsTests","","ui.TrainingLocatorsTests","selectorsTest","selectorsTest()",""
