"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 23 21:15:55 GMT 2025","Mon Jun 23 21:15:55 GMT 2025","70","","ui.TrainingLocatorsTests","","ui.TrainingLocatorsTests","headerTest","headerTest()",""
"passed","Mon Jun 23 21:22:10 GMT 2025","Mon Jun 23 21:22:10 GMT 2025","721","","ui.tests.NavigationTests","","ui.tests.NavigationTests","previousButtonTest","previousButtonTest()",""
"passed","Mon Jun 23 21:16:16 GMT 2025","Mon Jun 23 21:16:17 GMT 2025","679","","ui.tests.DownloadFileTests","","ui.tests.DownloadFileTests","DownloadPngFileTest","DownloadPngFileTest()",""
"passed","Mon Jun 23 21:15:58 GMT 2025","Mon Jun 23 21:15:59 GMT 2025","670","","ui.TrainingLocatorsTests","","ui.TrainingLocatorsTests","linksTest","linksTest()",""
"passed","Mon Jun 23 21:15:59 GMT 2025","Mon Jun 23 21:16:07 GMT 2025","7582","","ui.tests.BrowserAgnosticFeaturesTests","","ui.tests.BrowserAgnosticFeaturesTests","infiniteScrollTest","infiniteScrollTest()",""
"passed","Mon Jun 23 21:16:11 GMT 2025","Mon Jun 23 21:16:11 GMT 2025","712","","ui.tests.BrowserAgnosticFeaturesTests","","ui.tests.BrowserAgnosticFeaturesTests","acceptLaunchConfirmDialogBoxTest","acceptLaunchConfirmDialogBoxTest()",""
"passed","Mon Jun 23 21:16:29 GMT 2025","Mon Jun 23 21:16:30 GMT 2025","626","","ui.tests.HomePageTests","","ui.tests.HomePageTests","linksTest","linksTest(String, String, String, Class) [11] Shadow DOM, shadow-dom.html, Shadow DOM, class ui.pageObjects.ShadowDomPage",""
"passed","Mon Jun 23 21:16:18 GMT 2025","Mon Jun 23 21:16:19 GMT 2025","760","","ui.tests.DropdownMenuTests","","ui.tests.DropdownMenuTests","rightClickTest","rightClickTest()",""
"passed","Mon Jun 23 21:16:19 GMT 2025","Mon Jun 23 21:16:20 GMT 2025","747","","ui.tests.DropdownMenuTests","","ui.tests.DropdownMenuTests","doubleClickTest","doubleClickTest()",""
"passed","Mon Jun 23 21:16:13 GMT 2025","Mon Jun 23 21:16:14 GMT 2025","751","","ui.tests.BrowserAgnosticFeaturesTests","","ui.tests.BrowserAgnosticFeaturesTests","acceptLaunchPromptDialogBoxTest","acceptLaunchPromptDialogBoxTest()",""
"passed","Mon Jun 23 21:16:28 GMT 2025","Mon Jun 23 21:16:28 GMT 2025","638","","ui.tests.HomePageTests","","ui.tests.HomePageTests","linksTest","linksTest(String, String, String, Class) [8] Slow calculator, slow-calculator.html, Slow calculator, class ui.pageObjects.SlowCalculatorPage",""
"passed","Mon Jun 23 21:16:14 GMT 2025","Mon Jun 23 21:16:15 GMT 2025","700","","ui.tests.BrowserAgnosticFeaturesTests","","ui.tests.BrowserAgnosticFeaturesTests","cancelLaunchConfirmDialogBoxTest","cancelLaunchConfirmDialogBoxTest()",""
"passed","Mon Jun 23 21:20:02 GMT 2025","Mon Jun 23 21:22:07 GMT 2025","125343","","ui.tests.LoginFormTests","","ui.tests.LoginFormTests","invalidCredentialsTest","invalidCredentialsTest(String, String) [2]         ,         ",""
"passed","Mon Jun 23 21:15:57 GMT 2025","Mon Jun 23 21:15:57 GMT 2025","570","","ui.TrainingLocatorsTests","","ui.TrainingLocatorsTests","selectorsTest","selectorsTest()",""
"passed","Mon Jun 23 21:16:21 GMT 2025","Mon Jun 23 21:16:23 GMT 2025","1801","","ui.tests.HeaderTests","","ui.tests.HeaderTests","logoTest","logoTest()",""
"passed","Mon Jun 23 21:22:21 GMT 2025","Mon Jun 23 21:22:22 GMT 2025","920","","ui.tests.WebFormTests","","ui.tests.WebFormTests","fileInputTest","fileInputTest()",""
