"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 04 01:52:41 GMT 2025","Fri Jul 04 01:52:43 GMT 2025","1227","","ui.tests.BrowserAgnosticFeaturesTests","","ui.tests.BrowserAgnosticFeaturesTests","closeLaunchModalDialogBoxTest","closeLaunchModalDialogBoxTest()",""
"passed","Fri Jul 04 01:52:53 GMT 2025","Fri Jul 04 01:52:53 GMT 2025","574","","ui.tests.HomePageTests","","ui.tests.HomePageTests","linksTest","linksTest(String, String, String, Class) [3] Dropdown menu, dropdown-menu.html, Dropdown menu, class ui.pageObjects.DropdownMenuPage",""
"passed","Fri Jul 04 01:58:43 GMT 2025","Fri Jul 04 01:58:43 GMT 2025","676","","ui.tests.WebFormTests","","ui.tests.WebFormTests","dropdownDefaultOptionTest","dropdownDefaultOptionTest()",""
"passed","Fri Jul 04 01:58:52 GMT 2025","Fri Jul 04 01:58:53 GMT 2025","987","","ui.tests.WebFormTests","","ui.tests.WebFormTests","movingRangePickerTest","movingRangePickerTest()",""
"passed","Fri Jul 04 01:52:25 GMT 2025","Fri Jul 04 01:52:26 GMT 2025","1153","","ui.TrainingLocatorsTests","","ui.TrainingLocatorsTests","logoTest","logoTest()",""
"passed","Fri Jul 04 01:52:40 GMT 2025","Fri Jul 04 01:52:41 GMT 2025","664","","ui.tests.BrowserAgnosticFeaturesTests","","ui.tests.BrowserAgnosticFeaturesTests","acceptLaunchConfirmDialogBoxTest","acceptLaunchConfirmDialogBoxTest()",""
"passed","Fri Jul 04 01:58:47 GMT 2025","Fri Jul 04 01:58:47 GMT 2025","696","","ui.tests.WebFormTests","","ui.tests.WebFormTests","datePickerTest","datePickerTest()",""
"passed","Fri Jul 04 01:58:38 GMT 2025","Fri Jul 04 01:58:39 GMT 2025","798","","ui.tests.LoginFormTests","","ui.tests.LoginFormTests","invalidCredentialsTest","invalidCredentialsTest(String, String) [3] username, password",""
"skipped","Fri Jul 04 01:52:39 GMT 2025","Fri Jul 04 01:52:39 GMT 2025","0","","ui.tests.BrowserAgnosticFeaturesTests","","ui.tests.BrowserAgnosticFeaturesTests","storageTest","storageTest()",""
"passed","Fri Jul 04 01:58:44 GMT 2025","Fri Jul 04 01:58:45 GMT 2025","808","","ui.tests.WebFormTests","","ui.tests.WebFormTests","boniGarciaLinkTest","boniGarciaLinkTest()",""
"passed","Fri Jul 04 01:53:02 GMT 2025","Fri Jul 04 01:53:02 GMT 2025","816","","ui.tests.HomePageTests","","ui.tests.HomePageTests","linksTest","linksTest(String, String, String, Class) [18] Get user media, get-user-media.html, Get user media, class ui.pageObjects.GetUserMediaPage",""
"passed","Fri Jul 04 01:58:45 GMT 2025","Fri Jul 04 01:58:45 GMT 2025","741","","ui.tests.WebFormTests","","ui.tests.WebFormTests","editTextInputTest","editTextInputTest()",""
"passed","Fri Jul 04 01:58:53 GMT 2025","Fri Jul 04 01:58:54 GMT 2025","675","","ui.tests.WebFormTests","","ui.tests.WebFormTests","textInputTest","textInputTest()",""
