"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Jun 10 06:56:35 GMT 2025","Tue Jun 10 06:56:37 GMT 2025","1679","","tests.HomePageTests","","tests.HomePageTests","linksTest","linksTest(String, String, String, Class) [20] //h5[text()='Chapter 5. Browser-Specific Manipulation']/../a[contains(@href,'console-logs')], console-logs.html, Console logs, class pageObjects.ConsoleLogsPage",""
"passed","Tue Jun 10 06:56:52 GMT 2025","Tue Jun 10 06:56:53 GMT 2025","847","","tests.LoginFormPlaywrightTests","","tests.LoginFormPlaywrightTests","invalidCredentialsTest","invalidCredentialsTest(String, String) [1] , ",""
"broken","Tue Jun 10 06:56:32 GMT 2025","Tue Jun 10 06:56:34 GMT 2025","2025","","tests.HomePageTests","","tests.HomePageTests","linksTest","linksTest(String, String, String, Class) [18] //h5[text()='Chapter 5. Browser-Specific Manipulation']/../a[contains(@href,'get-user-media')], get-user-media.html, Get user media, class pageObjects.GetUserMediaPage",""
"broken","Tue Jun 10 06:56:21 GMT 2025","Tue Jun 10 06:56:23 GMT 2025","1663","","tests.HomePageTests","","tests.HomePageTests","linksTest","linksTest(String, String, String, Class) [11] //a[@href='shadow-dom.html'], shadow-dom.html, Shadow DOM, class pageObjects.ShadowDomPage",""
"broken","Tue Jun 10 06:55:52 GMT 2025","Tue Jun 10 06:55:54 GMT 2025","1714","","tests.DownloadFileTests","","tests.DownloadFileTests","DownloadPdfFileTest","DownloadPdfFileTest()",""
"broken","Tue Jun 10 06:56:37 GMT 2025","Tue Jun 10 06:56:39 GMT 2025","1665","","tests.HomePageTests","","tests.HomePageTests","linksTest","linksTest(String, String, String, Class) [21] //h5[text()='Chapter 7. The Page Object Model (POM)']/../a[contains(@href,'login-form')], login-form.html, Login form, class pageObjects.LoginFormPage",""
"broken","Tue Jun 10 06:56:58 GMT 2025","Tue Jun 10 06:56:59 GMT 2025","1681","","tests.LoginFormTests","","tests.LoginFormTests","invalidCredentialsTest","invalidCredentialsTest(String, String) [3] username, password",""
"failed","Tue Jun 10 06:56:54 GMT 2025","Tue Jun 10 06:56:54 GMT 2025","540","","tests.LoginFormPlaywrightTests","","tests.LoginFormPlaywrightTests","validCredentialsTest","validCredentialsTest()",""
"broken","Tue Jun 10 06:55:57 GMT 2025","Tue Jun 10 06:55:59 GMT 2025","1661","","tests.DropdownMenuTests","","tests.DropdownMenuTests","leftClickTest","leftClickTest()",""
"broken","Tue Jun 10 06:57:03 GMT 2025","Tue Jun 10 06:57:05 GMT 2025","1681","","tests.NavigationTests","","tests.NavigationTests","previousButtonTest","previousButtonTest()",""
"broken","Tue Jun 10 06:55:30 GMT 2025","Tue Jun 10 06:55:30 GMT 2025","4","","TrainingLocatorsTests","","TrainingLocatorsTests","","TrainingLocatorsTests",""
"broken","Tue Jun 10 06:55:46 GMT 2025","Tue Jun 10 06:55:47 GMT 2025","665","","tests.BrowserAgnosticFeaturesTests","","tests.BrowserAgnosticFeaturesTests","localStorageTest","localStorageTest()",""
"broken","Tue Jun 10 06:57:12 GMT 2025","Tue Jun 10 06:57:14 GMT 2025","1854","","tests.WebFormTests","","tests.WebFormTests","returnToIndexLinkTest","returnToIndexLinkTest()",""
