"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Jun 10 19:32:18 GMT 2025","Tue Jun 10 19:32:20 GMT 2025","1727","","tests.BrowserAgnosticFeaturesTests","","tests.BrowserAgnosticFeaturesTests","cookieTest","cookieTest()",""
"broken","Tue Jun 10 19:33:15 GMT 2025","Tue Jun 10 19:33:17 GMT 2025","1885","","tests.HomePageTests","","tests.HomePageTests","linksTest","linksTest(String, String, String, Class) [19] //h5[text()='Chapter 5. Browser-Specific Manipulation']/../a[contains(@href,'multilanguage')], multilanguage.html, , class pageObjects.MultilanguagePage",""
"broken","Tue Jun 10 19:33:04 GMT 2025","Tue Jun 10 19:33:06 GMT 2025","1664","","tests.HomePageTests","","tests.HomePageTests","linksTest","linksTest(String, String, String, Class) [12] //a[@href='cookies.html'], cookies.html, Cookies, class pageObjects.CookiesPage",""
"broken","Tue Jun 10 19:32:33 GMT 2025","Tue Jun 10 19:32:34 GMT 2025","1661","","tests.BrowserAgnosticFeaturesTests","","tests.BrowserAgnosticFeaturesTests","cancelLaunchConfirmDialogBoxTest","cancelLaunchConfirmDialogBoxTest()",""
"passed","Tue Jun 10 19:33:51 GMT 2025","Tue Jun 10 19:33:52 GMT 2025","677","","tests.WebFormTests","","tests.WebFormTests","dropdownDatalistTest","dropdownDatalistTest()",""
"broken","Tue Jun 10 19:33:59 GMT 2025","Tue Jun 10 19:34:00 GMT 2025","755","","tests.WebFormTests","","tests.WebFormTests","fileInputTest","fileInputTest()",""
"broken","Tue Jun 10 19:32:20 GMT 2025","Tue Jun 10 19:32:21 GMT 2025","1692","","tests.BrowserAgnosticFeaturesTests","","tests.BrowserAgnosticFeaturesTests","iFrameTest","iFrameTest()",""
"passed","Tue Jun 10 19:34:00 GMT 2025","Tue Jun 10 19:34:01 GMT 2025","705","","tests.WebFormTests","","tests.WebFormTests","passwordInputTest","passwordInputTest()",""
"broken","Tue Jun 10 19:33:17 GMT 2025","Tue Jun 10 19:33:19 GMT 2025","1660","","tests.HomePageTests","","tests.HomePageTests","linksTest","linksTest(String, String, String, Class) [20] //h5[text()='Chapter 5. Browser-Specific Manipulation']/../a[contains(@href,'console-logs')], console-logs.html, Console logs, class pageObjects.ConsoleLogsPage",""
"broken","Tue Jun 10 19:33:30 GMT 2025","Tue Jun 10 19:33:31 GMT 2025","223","","tests.LoadingImagesSelenideTests","","tests.LoadingImagesSelenideTests","loadingImagesTest","loadingImagesTest(String) [2] calendar",""
