"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Jun 10 20:54:44 GMT 2025","Tue Jun 10 20:54:50 GMT 2025","5116","","tests.LoadingImagesSelenideTests","","tests.LoadingImagesSelenideTests","loadingImagesTest","loadingImagesTest(String) [2] calendar",""
"passed","Tue Jun 10 21:00:24 GMT 2025","Tue Jun 10 21:00:25 GMT 2025","1119","","tests.WebFormTests","","tests.WebFormTests","textareaInputTest","textareaInputTest()",""
"broken","Tue Jun 10 20:54:16 GMT 2025","Tue Jun 10 20:54:18 GMT 2025","1746","","tests.HomePageTests","","tests.HomePageTests","linksTest","linksTest(String, String, String, Class) [14] //a[@href='dialog-boxes.html'], dialog-boxes.html, Dialog boxes, class pageObjects.DialogBoxesPage",""
"broken","Tue Jun 10 20:54:26 GMT 2025","Tue Jun 10 20:54:28 GMT 2025","1749","","tests.HomePageTests","","tests.HomePageTests","linksTest","linksTest(String, String, String, Class) [20] //h5[text()='Chapter 5. Browser-Specific Manipulation']/../a[contains(@href,'console-logs')], console-logs.html, Console logs, class pageObjects.ConsoleLogsPage",""
"passed","Tue Jun 10 20:54:20 GMT 2025","Tue Jun 10 20:54:21 GMT 2025","1157","","tests.HomePageTests","","tests.HomePageTests","linksTest","linksTest(String, String, String, Class) [16] //h5[text()='Chapter 5. Browser-Specific Manipulation']/../a[contains(@href,'geolocation')], geolocation.html, Geolocation, class pageObjects.GeolocationPage",""
"broken","Tue Jun 10 21:00:10 GMT 2025","Tue Jun 10 21:00:11 GMT 2025","1668","","tests.NavigationTests","","tests.NavigationTests","nextButtonTest","nextButtonTest()",""
"broken","Tue Jun 10 20:54:28 GMT 2025","Tue Jun 10 20:54:29 GMT 2025","1729","","tests.HomePageTests","","tests.HomePageTests","linksTest","linksTest(String, String, String, Class) [21] //h5[text()='Chapter 7. The Page Object Model (POM)']/../a[contains(@href,'login-form')], login-form.html, Login form, class pageObjects.LoginFormPage",""
"broken","Tue Jun 10 20:53:44 GMT 2025","Tue Jun 10 20:53:46 GMT 2025","1753","","tests.DragAndDropTests","","tests.DragAndDropTests","dragAndDropTest","dragAndDropTest()",""
"broken","Tue Jun 10 20:54:38 GMT 2025","Tue Jun 10 20:54:40 GMT 2025","1730","","tests.HomePageTests","","tests.HomePageTests","frameTest","frameTest()",""
"broken","Tue Jun 10 21:00:08 GMT 2025","Tue Jun 10 21:00:10 GMT 2025","1677","","tests.LoginFormTests","","tests.LoginFormTests","validCredentialsTest","validCredentialsTest()",""
