"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 10 01:47:23 GMT 2025","Fri Oct 10 01:47:24 GMT 2025","887","","ui.tests.WebFormTests","","ui.tests.WebFormTests","boniGarciaLinkTest","boniGarciaLinkTest()",""
"passed","Fri Oct 10 01:41:23 GMT 2025","Fri Oct 10 01:41:23 GMT 2025","638","","ui.tests.BrowserAgnosticFeaturesTests","","ui.tests.BrowserAgnosticFeaturesTests","cancelLaunchConfirmDialogBoxTest","cancelLaunchConfirmDialogBoxTest()",""
"passed","Fri Oct 10 01:41:33 GMT 2025","Fri Oct 10 01:41:34 GMT 2025","581","","ui.tests.HomePageTests","","ui.tests.HomePageTests","linksTest","linksTest(String, String, String, Class) [4] Mouse over, mouse-over.html, Mouse over, class ui.pageObjects.MouseOverPage",""
"passed","Fri Oct 10 01:41:02 GMT 2025","Fri Oct 10 01:41:03 GMT 2025","271","","api.UserApiTests","","api.UserApiTests","getUserByNameTest","getUserByNameTest()",""
"passed","Fri Oct 10 01:47:26 GMT 2025","Fri Oct 10 01:47:27 GMT 2025","989","","ui.tests.WebFormTests","","ui.tests.WebFormTests","textareaInputTest","textareaInputTest()",""
"passed","Fri Oct 10 01:41:40 GMT 2025","Fri Oct 10 01:41:40 GMT 2025","551","","ui.tests.HomePageTests","","ui.tests.HomePageTests","linksTest","linksTest(String, String, String, Class) [15] Web storage, web-storage.html, Web storage, class ui.pageObjects.WebStoragePage",""
"passed","Fri Oct 10 01:41:42 GMT 2025","Fri Oct 10 01:41:43 GMT 2025","561","","ui.tests.HomePageTests","","ui.tests.HomePageTests","linksTest","linksTest(String, String, String, Class) [20] Console logs, console-logs.html, Console logs, class ui.pageObjects.ConsoleLogsPage",""
"passed","Fri Oct 10 01:41:45 GMT 2025","Fri Oct 10 01:41:46 GMT 2025","542","","ui.tests.HomePageTests","","ui.tests.HomePageTests","linksTest","linksTest(String, String, String, Class) [25] A/B Testing, ab-testing.html, A/B Testing, class ui.pageObjects.ABTestingPage",""
"passed","Fri Oct 10 01:41:25 GMT 2025","Fri Oct 10 01:41:26 GMT 2025","887","","ui.tests.DragAndDropTests","","ui.tests.DragAndDropTests","dragAndDropTest","dragAndDropTest()",""
"passed","Fri Oct 10 01:47:31 GMT 2025","Fri Oct 10 01:47:31 GMT 2025","639","","ui.tests.WebFormTests","","ui.tests.WebFormTests","passwordInputTest","passwordInputTest()",""
"skipped","Fri Oct 10 01:42:09 GMT 2025","Fri Oct 10 01:42:09 GMT 2025","0","","ui.tests.LoginFormPlaywrightTests","","ui.tests.LoginFormPlaywrightTests","invalidCredentialsTest","invalidCredentialsTest(String, String)",""
"passed","Fri Oct 10 01:41:05 GMT 2025","Fri Oct 10 01:41:07 GMT 2025","1336","","ui.TrainingLocatorsTests","","ui.TrainingLocatorsTests","logoTest","logoTest()",""
"passed","Fri Oct 10 01:41:08 GMT 2025","Fri Oct 10 01:41:08 GMT 2025","359","","ui.TrainingLocatorsTests","","ui.TrainingLocatorsTests","linksTest","linksTest()",""
"passed","Fri Oct 10 01:41:50 GMT 2025","Fri Oct 10 01:41:54 GMT 2025","4278","","ui.tests.LoadingImagesSelenideTests","","ui.tests.LoadingImagesSelenideTests","loadingImagesTest","loadingImagesTest(String) [2] calendar",""
"passed","Fri Oct 10 01:41:03 GMT 2025","Fri Oct 10 01:41:03 GMT 2025","241","","api.UserApiTests","","api.UserApiTests","deleteUserTest","deleteUserTest()",""
"passed","Fri Oct 10 01:41:29 GMT 2025","Fri Oct 10 01:41:30 GMT 2025","627","","ui.tests.HeaderTests","","ui.tests.HeaderTests","HeaderTitleTest","HeaderTitleTest()",""
"skipped","Fri Oct 10 01:41:19 GMT 2025","Fri Oct 10 01:41:19 GMT 2025","0","","ui.tests.BrowserAgnosticFeaturesTests","","ui.tests.BrowserAgnosticFeaturesTests","storageTest","storageTest()",""
"passed","Fri Oct 10 01:47:27 GMT 2025","Fri Oct 10 01:47:28 GMT 2025","667","","ui.tests.WebFormTests","","ui.tests.WebFormTests","rangePickerTest","rangePickerTest()",""
"passed","Fri Oct 10 01:47:28 GMT 2025","Fri Oct 10 01:47:29 GMT 2025","608","","ui.tests.WebFormTests","","ui.tests.WebFormTests","colorPickerTest","colorPickerTest()",""
"passed","Fri Oct 10 01:41:07 GMT 2025","Fri Oct 10 01:41:08 GMT 2025","516","","ui.TrainingLocatorsTests","","ui.TrainingLocatorsTests","pickersTest","pickersTest()",""
"skipped","Fri Oct 10 01:41:21 GMT 2025","Fri Oct 10 01:41:21 GMT 2025","0","","ui.tests.BrowserAgnosticFeaturesTests","","ui.tests.BrowserAgnosticFeaturesTests","localStorageTest","localStorageTest()",""
"passed","Fri Oct 10 01:41:35 GMT 2025","Fri Oct 10 01:41:35 GMT 2025","573","","ui.tests.HomePageTests","","ui.tests.HomePageTests","linksTest","linksTest(String, String, String, Class) [7] Loading images, loading-images.html, Loading images, class ui.pageObjects.LoadingImagesPage",""
"failed","Fri Oct 10 01:41:02 GMT 2025","Fri Oct 10 01:41:02 GMT 2025","372","","api.UserApiTests","","api.UserApiTests","createDefaultUserExtendedTest","createDefaultUserExtendedTest()",""
"passed","Fri Oct 10 01:41:03 GMT 2025","Fri Oct 10 01:41:03 GMT 2025","172","","api.UserApiTests","","api.UserApiTests","createDefaultUserTest","createDefaultUserTest()",""
"passed","Fri Oct 10 01:47:21 GMT 2025","Fri Oct 10 01:47:21 GMT 2025","635","","ui.tests.WebFormTests","","ui.tests.WebFormTests","disabledInputTest","disabledInputTest()",""
"passed","Fri Oct 10 01:47:33 GMT 2025","Fri Oct 10 01:47:34 GMT 2025","623","","ui.tests.WebFormTests","","ui.tests.WebFormTests","optionsListTest","optionsListTest()",""
"passed","Fri Oct 10 01:47:22 GMT 2025","Fri Oct 10 01:47:23 GMT 2025","631","","ui.tests.WebFormTests","","ui.tests.WebFormTests","checkboxTest","checkboxTest()",""
"passed","Fri Oct 10 01:41:05 GMT 2025","Fri Oct 10 01:41:05 GMT 2025","71","","ui.TrainingLocatorsTests","","ui.TrainingLocatorsTests","headerTest","headerTest()",""
"passed","Fri Oct 10 01:41:01 GMT 2025","Fri Oct 10 01:41:02 GMT 2025","1088","","api.FileTests","","api.FileTests","testDownloadHttpClient","testDownloadHttpClient()",""
"passed","Fri Oct 10 01:47:30 GMT 2025","Fri Oct 10 01:47:31 GMT 2025","794","","ui.tests.WebFormTests","","ui.tests.WebFormTests","fileInputTest","fileInputTest()",""
"passed","Fri Oct 10 01:47:19 GMT 2025","Fri Oct 10 01:47:20 GMT 2025","799","","ui.tests.NavigationTests","","ui.tests.NavigationTests","nextButtonTest","nextButtonTest()",""
"passed","Fri Oct 10 01:41:47 GMT 2025","Fri Oct 10 01:41:50 GMT 2025","2917","","ui.tests.LoadingImagesSelenideTests","","ui.tests.LoadingImagesSelenideTests","loadingImagesTest","loadingImagesTest(String) [1] compass",""
"passed","Fri Oct 10 01:41:23 GMT 2025","Fri Oct 10 01:41:25 GMT 2025","1224","","ui.tests.DownloadFileTests","","ui.tests.DownloadFileTests","DownloadPdfFileTest","DownloadPdfFileTest()",""
"passed","Fri Oct 10 01:41:09 GMT 2025","Fri Oct 10 01:41:16 GMT 2025","7046","","ui.tests.BrowserAgnosticFeaturesTests","","ui.tests.BrowserAgnosticFeaturesTests","infiniteScrollTest","infiniteScrollTest()",""
"passed","Fri Oct 10 01:41:31 GMT 2025","Fri Oct 10 01:41:32 GMT 2025","654","","ui.tests.HomePageTests","","ui.tests.HomePageTests","linksTest","linksTest(String, String, String, Class) [1] Web form, web-form.html, Web form, class ui.pageObjects.WebFormPage",""
"passed","Fri Oct 10 01:47:31 GMT 2025","Fri Oct 10 01:47:32 GMT 2025","983","","ui.tests.WebFormTests","","ui.tests.WebFormTests","movingRangePickerTest","movingRangePickerTest()",""
"passed","Fri Oct 10 01:41:39 GMT 2025","Fri Oct 10 01:41:40 GMT 2025","559","","ui.tests.HomePageTests","","ui.tests.HomePageTests","linksTest","linksTest(String, String, String, Class) [14] Dialog boxes, dialog-boxes.html, Dialog boxes, class ui.pageObjects.DialogBoxesPage",""
"passed","Fri Oct 10 01:41:07 GMT 2025","Fri Oct 10 01:41:07 GMT 2025","212","","ui.TrainingLocatorsTests","","ui.TrainingLocatorsTests","inputTest","inputTest()",""
"passed","Fri Oct 10 01:47:20 GMT 2025","Fri Oct 10 01:47:21 GMT 2025","631","","ui.tests.WebFormTests","","ui.tests.WebFormTests","selectorsTest","selectorsTest()",""
"passed","Fri Oct 10 01:41:30 GMT 2025","Fri Oct 10 01:41:31 GMT 2025","1719","","ui.tests.HeaderTests","","ui.tests.HeaderTests","logoTest","logoTest()",""
"passed","Fri Oct 10 01:47:32 GMT 2025","Fri Oct 10 01:47:33 GMT 2025","644","","ui.tests.WebFormTests","","ui.tests.WebFormTests","textInputTest","textInputTest()",""
"broken","Fri Oct 10 01:42:09 GMT 2025","Fri Oct 10 01:45:09 GMT 2025","180010","","ui.tests.LoginFormTests","","ui.tests.LoginFormTests","invalidCredentialsTest","invalidCredentialsTest(String, String) [1] , ",""
"passed","Fri Oct 10 01:41:41 GMT 2025","Fri Oct 10 01:41:42 GMT 2025","601","","ui.tests.HomePageTests","","ui.tests.HomePageTests","linksTest","linksTest(String, String, String, Class) [18] Get user media, get-user-media.html, Get user media, class ui.pageObjects.GetUserMediaPage",""
"passed","Fri Oct 10 01:47:21 GMT 2025","Fri Oct 10 01:47:22 GMT 2025","634","","ui.tests.WebFormTests","","ui.tests.WebFormTests","dropdownDefaultOptionTest","dropdownDefaultOptionTest()",""
"passed","Fri Oct 10 01:47:24 GMT 2025","Fri Oct 10 01:47:25 GMT 2025","595","","ui.tests.WebFormTests","","ui.tests.WebFormTests","dropdownDatalistTest","dropdownDatalistTest()",""
"passed","Fri Oct 10 01:41:17 GMT 2025","Fri Oct 10 01:41:18 GMT 2025","671","","ui.tests.BrowserAgnosticFeaturesTests","","ui.tests.BrowserAgnosticFeaturesTests","iFrameTest","iFrameTest()",""
"skipped","Fri Oct 10 01:42:09 GMT 2025","Fri Oct 10 01:42:09 GMT 2025","0","","ui.tests.LoginFormPlaywrightTests","","ui.tests.LoginFormPlaywrightTests","validCredentialsTest","validCredentialsTest()",""
"failed","Fri Oct 10 01:41:02 GMT 2025","Fri Oct 10 01:41:02 GMT 2025","373","","api.UserApiTests","","api.UserApiTests","updateUserTest","updateUserTest()",""
"passed","Fri Oct 10 01:47:20 GMT 2025","Fri Oct 10 01:47:20 GMT 2025","657","","ui.tests.NavigationTests","","ui.tests.NavigationTests","previousButtonTest","previousButtonTest()",""
"passed","Fri Oct 10 01:47:18 GMT 2025","Fri Oct 10 01:47:19 GMT 2025","764","","ui.tests.LoginFormTests","","ui.tests.LoginFormTests","validCredentialsTest","validCredentialsTest()",""
"passed","Fri Oct 10 01:41:37 GMT 2025","Fri Oct 10 01:41:38 GMT 2025","570","","ui.tests.HomePageTests","","ui.tests.HomePageTests","linksTest","linksTest(String, String, String, Class) [11] Shadow DOM, shadow-dom.html, Shadow DOM, class ui.pageObjects.ShadowDomPage",""
