"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Aug 29 01:44:06 GMT 2025","Fri Aug 29 01:44:06 GMT 2025","14","","ui.tests.WebFormTests","","ui.tests.WebFormTests","movingRangePickerTest","movingRangePickerTest()",""
"passed","Fri Aug 29 01:43:41 GMT 2025","Fri Aug 29 01:43:41 GMT 2025","574","","ui.tests.HomePageTests","","ui.tests.HomePageTests","linksTest","linksTest(String, String, String, Class) [24] Download files, download.html, Download files, class ui.pageObjects.DownloadFilesPage",""
"passed","Fri Aug 29 01:43:21 GMT 2025","Fri Aug 29 01:43:22 GMT 2025","608","","ui.tests.HeaderTests","","ui.tests.HeaderTests","HeaderDescriptionTest","HeaderDescriptionTest()",""
"passed","Fri Aug 29 01:43:39 GMT 2025","Fri Aug 29 01:43:40 GMT 2025","732","","ui.tests.HomePageTests","","ui.tests.HomePageTests","linksTest","linksTest(String, String, String, Class) [21] Login form, login-form.html, Login form, class ui.pageObjects.LoginFormPage",""
"passed","Fri Aug 29 01:43:40 GMT 2025","Fri Aug 29 01:43:40 GMT 2025","658","","ui.tests.HomePageTests","","ui.tests.HomePageTests","linksTest","linksTest(String, String, String, Class) [22] Slow login, login-slow.html, Slow login form, class ui.pageObjects.SlowLoginFormPage",""
"broken","Fri Aug 29 01:44:06 GMT 2025","Fri Aug 29 01:44:06 GMT 2025","25","","ui.tests.WebFormTests","","ui.tests.WebFormTests","readOnlyTest","readOnlyTest()",""
"broken","Fri Aug 29 01:44:06 GMT 2025","Fri Aug 29 01:44:06 GMT 2025","23","","ui.tests.WebFormTests","","ui.tests.WebFormTests","colorPickerTest","colorPickerTest()",""
"skipped","Fri Aug 29 01:44:06 GMT 2025","Fri Aug 29 01:44:06 GMT 2025","0","","ui.tests.LoginFormPlaywrightTests","","ui.tests.LoginFormPlaywrightTests","invalidCredentialsTest","invalidCredentialsTest(String, String)",""
"passed","Fri Aug 29 01:42:40 GMT 2025","Fri Aug 29 01:42:43 GMT 2025","3239","","api.FileTests","","api.FileTests","uploadFileTest","uploadFileTest()",""
"broken","Fri Aug 29 01:44:06 GMT 2025","Fri Aug 29 01:44:06 GMT 2025","19","","ui.tests.WebFormTests","","ui.tests.WebFormTests","disabledInputTest","disabledInputTest()",""
"passed","Fri Aug 29 01:43:12 GMT 2025","Fri Aug 29 01:43:13 GMT 2025","792","","ui.tests.BrowserAgnosticFeaturesTests","","ui.tests.BrowserAgnosticFeaturesTests","acceptLaunchConfirmDialogBoxTest","acceptLaunchConfirmDialogBoxTest()",""
"passed","Fri Aug 29 01:43:29 GMT 2025","Fri Aug 29 01:43:30 GMT 2025","646","","ui.tests.HomePageTests","","ui.tests.HomePageTests","linksTest","linksTest(String, String, String, Class) [7] Loading images, loading-images.html, Loading images, class ui.pageObjects.LoadingImagesPage",""
"broken","Fri Aug 29 01:44:06 GMT 2025","Fri Aug 29 01:44:06 GMT 2025","11","","ui.tests.WebFormTests","","ui.tests.WebFormTests","selectorsTest","selectorsTest()",""
"passed","Fri Aug 29 01:43:32 GMT 2025","Fri Aug 29 01:43:33 GMT 2025","667","","ui.tests.HomePageTests","","ui.tests.HomePageTests","linksTest","linksTest(String, String, String, Class) [11] Shadow DOM, shadow-dom.html, Shadow DOM, class ui.pageObjects.ShadowDomPage",""
"passed","Fri Aug 29 01:43:18 GMT 2025","Fri Aug 29 01:43:19 GMT 2025","997","","ui.tests.DragAndDropTests","","ui.tests.DragAndDropTests","dragAndDropTest","dragAndDropTest()",""
"passed","Fri Aug 29 01:43:28 GMT 2025","Fri Aug 29 01:43:29 GMT 2025","703","","ui.tests.HomePageTests","","ui.tests.HomePageTests","linksTest","linksTest(String, String, String, Class) [6] Draw in canvas, draw-in-canvas.html, Drawing in canvas, class ui.pageObjects.DrawingInCanvasPage",""
"passed","Fri Aug 29 01:43:26 GMT 2025","Fri Aug 29 01:43:27 GMT 2025","573","","ui.tests.HomePageTests","","ui.tests.HomePageTests","linksTest","linksTest(String, String, String, Class) [3] Dropdown menu, dropdown-menu.html, Dropdown menu, class ui.pageObjects.DropdownMenuPage",""
"passed","Fri Aug 29 01:43:15 GMT 2025","Fri Aug 29 01:43:15 GMT 2025","676","","ui.tests.BrowserAgnosticFeaturesTests","","ui.tests.BrowserAgnosticFeaturesTests","acceptLaunchPromptDialogBoxTest","acceptLaunchPromptDialogBoxTest()",""
"broken","Fri Aug 29 01:44:06 GMT 2025","Fri Aug 29 01:44:06 GMT 2025","14","","ui.tests.WebFormTests","","ui.tests.WebFormTests","dropdownSelectTest","dropdownSelectTest()",""
"passed","Fri Aug 29 01:42:55 GMT 2025","Fri Aug 29 01:42:55 GMT 2025","76","","ui.TrainingLocatorsTests","","ui.TrainingLocatorsTests","headerTest","headerTest()",""
"passed","Fri Aug 29 01:43:25 GMT 2025","Fri Aug 29 01:43:26 GMT 2025","646","","ui.tests.HomePageTests","","ui.tests.HomePageTests","linksTest","linksTest(String, String, String, Class) [1] Web form, web-form.html, Web form, class ui.pageObjects.WebFormPage",""
"passed","Fri Aug 29 01:43:35 GMT 2025","Fri Aug 29 01:43:36 GMT 2025","642","","ui.tests.HomePageTests","","ui.tests.HomePageTests","linksTest","linksTest(String, String, String, Class) [16] Geolocation, geolocation.html, Geolocation, class ui.pageObjects.GeolocationPage",""
"broken","Fri Aug 29 01:44:06 GMT 2025","Fri Aug 29 01:44:06 GMT 2025","26","","ui.tests.WebFormTests","","ui.tests.WebFormTests","textInputTest","textInputTest()",""
"passed","Fri Aug 29 01:43:08 GMT 2025","Fri Aug 29 01:43:09 GMT 2025","895","","ui.tests.BrowserAgnosticFeaturesTests","","ui.tests.BrowserAgnosticFeaturesTests","cookieTest","cookieTest()",""
"skipped","Fri Aug 29 01:43:11 GMT 2025","Fri Aug 29 01:43:11 GMT 2025","0","","ui.tests.BrowserAgnosticFeaturesTests","","ui.tests.BrowserAgnosticFeaturesTests","storageTest","storageTest()",""
"passed","Fri Aug 29 01:42:59 GMT 2025","Fri Aug 29 01:43:00 GMT 2025","770","","ui.tests.BrowserAgnosticFeaturesTests","","ui.tests.BrowserAgnosticFeaturesTests","shadowDomTest","shadowDomTest()",""
"passed","Fri Aug 29 01:43:33 GMT 2025","Fri Aug 29 01:43:34 GMT 2025","657","","ui.tests.HomePageTests","","ui.tests.HomePageTests","linksTest","linksTest(String, String, String, Class) [12] Cookies, cookies.html, Cookies, class ui.pageObjects.CookiesPage",""
"passed","Fri Aug 29 01:43:26 GMT 2025","Fri Aug 29 01:43:26 GMT 2025","772","","ui.tests.HomePageTests","","ui.tests.HomePageTests","linksTest","linksTest(String, String, String, Class) [2] Navigation, navigation1.html, Navigation example, class ui.pageObjects.NavigationPage",""
"broken","Fri Aug 29 01:44:06 GMT 2025","Fri Aug 29 01:44:06 GMT 2025","13","","ui.tests.WebFormTests","","ui.tests.WebFormTests","textareaInputTest","textareaInputTest()",""
"passed","Fri Aug 29 01:42:47 GMT 2025","Fri Aug 29 01:42:49 GMT 2025","1991","","api.UserApiTests","","api.UserApiTests","updateUserTest","updateUserTest()",""
"passed","Fri Aug 29 01:43:36 GMT 2025","Fri Aug 29 01:43:37 GMT 2025","649","","ui.tests.HomePageTests","","ui.tests.HomePageTests","linksTest","linksTest(String, String, String, Class) [17] Notifications, notifications.html, Notifications, class ui.pageObjects.NotificationsPage",""
"passed","Fri Aug 29 01:43:28 GMT 2025","Fri Aug 29 01:43:28 GMT 2025","642","","ui.tests.HomePageTests","","ui.tests.HomePageTests","linksTest","linksTest(String, String, String, Class) [5] Drag and drop, drag-and-drop.html, Drag and drop, class ui.pageObjects.DragAndDropPage",""
"passed","Fri Aug 29 01:43:38 GMT 2025","Fri Aug 29 01:43:39 GMT 2025","701","","ui.tests.HomePageTests","","ui.tests.HomePageTests","linksTest","linksTest(String, String, String, Class) [20] Console logs, console-logs.html, Console logs, class ui.pageObjects.ConsoleLogsPage",""
"failed","Fri Aug 29 01:42:49 GMT 2025","Fri Aug 29 01:42:50 GMT 2025","1486","","api.UserApiTests","","api.UserApiTests","getUserByNameTest","getUserByNameTest()",""
"broken","Fri Aug 29 01:44:06 GMT 2025","Fri Aug 29 01:44:06 GMT 2025","16","","ui.tests.WebFormTests","","ui.tests.WebFormTests","boniGarciaLinkTest","boniGarciaLinkTest()",""
"passed","Fri Aug 29 01:43:34 GMT 2025","Fri Aug 29 01:43:34 GMT 2025","581","","ui.tests.HomePageTests","","ui.tests.HomePageTests","linksTest","linksTest(String, String, String, Class) [13] IFrames, iframes.html, IFrame, class ui.pageObjects.IFramePage",""
"passed","Fri Aug 29 01:43:23 GMT 2025","Fri Aug 29 01:43:25 GMT 2025","2153","","ui.tests.HeaderTests","","ui.tests.HeaderTests","logoTest","logoTest()",""
"passed","Fri Aug 29 01:43:17 GMT 2025","Fri Aug 29 01:43:18 GMT 2025","765","","ui.tests.DownloadFileTests","","ui.tests.DownloadFileTests","DownloadPngFileTest","DownloadPngFileTest()",""
"broken","Fri Aug 29 01:44:06 GMT 2025","Fri Aug 29 01:44:06 GMT 2025","26","","ui.tests.LoginFormTests","","ui.tests.LoginFormTests","validCredentialsTest","validCredentialsTest()",""
"broken","Fri Aug 29 01:44:06 GMT 2025","Fri Aug 29 01:44:06 GMT 2025","23","","ui.tests.WebFormTests","","ui.tests.WebFormTests","dropdownDefaultOptionTest","dropdownDefaultOptionTest()",""
"passed","Fri Aug 29 01:43:43 GMT 2025","Fri Aug 29 01:43:44 GMT 2025","835","","ui.tests.HomePageTests","","ui.tests.HomePageTests","frameTest","frameTest()",""
"broken","Fri Aug 29 01:44:06 GMT 2025","Fri Aug 29 01:44:06 GMT 2025","27","","ui.tests.WebFormTests","","ui.tests.WebFormTests","dropdownDatalistTest","dropdownDatalistTest()",""
"passed","Fri Aug 29 01:43:27 GMT 2025","Fri Aug 29 01:43:28 GMT 2025","783","","ui.tests.HomePageTests","","ui.tests.HomePageTests","linksTest","linksTest(String, String, String, Class) [4] Mouse over, mouse-over.html, Mouse over, class ui.pageObjects.MouseOverPage",""
"broken","Fri Aug 29 01:44:06 GMT 2025","Fri Aug 29 01:44:06 GMT 2025","26","","ui.tests.WebFormTests","","ui.tests.WebFormTests","rangePickerTest","rangePickerTest()",""
"passed","Fri Aug 29 01:43:15 GMT 2025","Fri Aug 29 01:43:16 GMT 2025","850","","ui.tests.BrowserAgnosticFeaturesTests","","ui.tests.BrowserAgnosticFeaturesTests","cancelLaunchConfirmDialogBoxTest","cancelLaunchConfirmDialogBoxTest()",""
"passed","Fri Aug 29 01:43:35 GMT 2025","Fri Aug 29 01:43:35 GMT 2025","656","","ui.tests.HomePageTests","","ui.tests.HomePageTests","linksTest","linksTest(String, String, String, Class) [15] Web storage, web-storage.html, Web storage, class ui.pageObjects.WebStoragePage",""
"broken","Fri Aug 29 01:44:06 GMT 2025","Fri Aug 29 01:44:06 GMT 2025","22","","ui.tests.LoginFormTests","","ui.tests.LoginFormTests","invalidCredentialsTest","invalidCredentialsTest(String, String) [2]         ,         ",""
"passed","Fri Aug 29 01:43:44 GMT 2025","Fri Aug 29 01:43:47 GMT 2025","3067","","ui.tests.LoadingImagesSelenideTests","","ui.tests.LoadingImagesSelenideTests","loadingImagesTest","loadingImagesTest(String) [1] compass",""
"failed","Fri Aug 29 01:42:45 GMT 2025","Fri Aug 29 01:42:47 GMT 2025","1640","","api.UserApiTests","","api.UserApiTests","createDefaultUserExtendedTest","createDefaultUserExtendedTest()",""
"broken","Fri Aug 29 01:44:06 GMT 2025","Fri Aug 29 01:44:06 GMT 2025","14","","ui.tests.WebFormTests","","ui.tests.WebFormTests","datePickerTest","datePickerTest()",""
"broken","Fri Aug 29 01:44:06 GMT 2025","Fri Aug 29 01:44:06 GMT 2025","29","","ui.tests.LoginFormTests","","ui.tests.LoginFormTests","invalidCredentialsTest","invalidCredentialsTest(String, String) [1] , ",""
"passed","Fri Aug 29 01:43:09 GMT 2025","Fri Aug 29 01:43:10 GMT 2025","1059","","ui.tests.BrowserAgnosticFeaturesTests","","ui.tests.BrowserAgnosticFeaturesTests","iFrameTest","iFrameTest()",""
"broken","Fri Aug 29 01:44:06 GMT 2025","Fri Aug 29 01:44:06 GMT 2025","24","","ui.tests.LoginFormTests","","ui.tests.LoginFormTests","invalidCredentialsTest","invalidCredentialsTest(String, String) [3] username, password",""
"passed","Fri Aug 29 01:43:13 GMT 2025","Fri Aug 29 01:43:13 GMT 2025","679","","ui.tests.BrowserAgnosticFeaturesTests","","ui.tests.BrowserAgnosticFeaturesTests","launchAlertDialogBoxTest","launchAlertDialogBoxTest()",""
"passed","Fri Aug 29 01:43:47 GMT 2025","Fri Aug 29 01:43:51 GMT 2025","4368","","ui.tests.LoadingImagesSelenideTests","","ui.tests.LoadingImagesSelenideTests","loadingImagesTest","loadingImagesTest(String) [2] calendar",""
"passed","Fri Aug 29 01:43:31 GMT 2025","Fri Aug 29 01:43:32 GMT 2025","847","","ui.tests.HomePageTests","","ui.tests.HomePageTests","linksTest","linksTest(String, String, String, Class) [10] Infinite scroll, infinite-scroll.html, Infinite scroll, class ui.pageObjects.InfiniteScrollPage",""
"broken","Fri Aug 29 01:44:06 GMT 2025","Fri Aug 29 01:44:06 GMT 2025","27","","ui.tests.WebFormTests","","ui.tests.WebFormTests","editTextInputTest","editTextInputTest()",""
