"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 08 02:03:14 GMT 2025","Fri Aug 08 02:03:15 GMT 2025","616","","ui.tests.HomePageTests","","ui.tests.HomePageTests","linksTest","linksTest(String, String, String, Class) [8] Slow calculator, slow-calculator.html, Slow calculator, class ui.pageObjects.SlowCalculatorPage",""
"passed","Fri Aug 08 02:09:07 GMT 2025","Fri Aug 08 02:09:08 GMT 2025","1031","","ui.tests.WebFormTests","","ui.tests.WebFormTests","textareaInputTest","textareaInputTest()",""
"passed","Fri Aug 08 02:02:42 GMT 2025","Fri Aug 08 02:02:43 GMT 2025","1563","","ui.TrainingLocatorsTests","","ui.TrainingLocatorsTests","logoTest","logoTest()",""
"passed","Fri Aug 08 02:06:48 GMT 2025","Fri Aug 08 02:08:58 GMT 2025","129442","","ui.tests.LoginFormTests","","ui.tests.LoginFormTests","invalidCredentialsTest","invalidCredentialsTest(String, String) [2]         ,         ",""
"passed","Fri Aug 08 02:03:20 GMT 2025","Fri Aug 08 02:03:21 GMT 2025","631","","ui.tests.HomePageTests","","ui.tests.HomePageTests","linksTest","linksTest(String, String, String, Class) [18] Get user media, get-user-media.html, Get user media, class ui.pageObjects.GetUserMediaPage",""
"passed","Fri Aug 08 02:03:18 GMT 2025","Fri Aug 08 02:03:18 GMT 2025","596","","ui.tests.HomePageTests","","ui.tests.HomePageTests","linksTest","linksTest(String, String, String, Class) [14] Dialog boxes, dialog-boxes.html, Dialog boxes, class ui.pageObjects.DialogBoxesPage",""
"passed","Fri Aug 08 02:03:10 GMT 2025","Fri Aug 08 02:03:11 GMT 2025","625","","ui.tests.HomePageTests","","ui.tests.HomePageTests","linksTest","linksTest(String, String, String, Class) [2] Navigation, navigation1.html, Navigation example, class ui.pageObjects.NavigationPage",""
"passed","Fri Aug 08 02:09:12 GMT 2025","Fri Aug 08 02:09:13 GMT 2025","726","","ui.tests.WebFormTests","","ui.tests.WebFormTests","passwordInputTest","passwordInputTest()",""
"skipped","Fri Aug 08 02:02:58 GMT 2025","Fri Aug 08 02:02:58 GMT 2025","0","","ui.tests.BrowserAgnosticFeaturesTests","","ui.tests.BrowserAgnosticFeaturesTests","localStorageTest","localStorageTest()",""
"passed","Fri Aug 08 02:03:05 GMT 2025","Fri Aug 08 02:03:05 GMT 2025","795","","ui.tests.DropdownMenuTests","","ui.tests.DropdownMenuTests","rightClickTest","rightClickTest()",""
"passed","Fri Aug 08 02:09:08 GMT 2025","Fri Aug 08 02:09:09 GMT 2025","687","","ui.tests.WebFormTests","","ui.tests.WebFormTests","rangePickerTest","rangePickerTest()",""
"passed","Fri Aug 08 02:02:38 GMT 2025","Fri Aug 08 02:02:39 GMT 2025","364","","api.UserApiTests","","api.UserApiTests","createDefaultUserExtendedTest","createDefaultUserExtendedTest()",""
"passed","Fri Aug 08 02:03:11 GMT 2025","Fri Aug 08 02:03:11 GMT 2025","615","","ui.tests.HomePageTests","","ui.tests.HomePageTests","linksTest","linksTest(String, String, String, Class) [3] Dropdown menu, dropdown-menu.html, Dropdown menu, class ui.pageObjects.DropdownMenuPage",""
