"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 19 01:41:52 GMT 2025","Fri Sep 19 01:41:53 GMT 2025","675","","ui.tests.HomePageTests","","ui.tests.HomePageTests","linksTest","linksTest(String, String, String, Class) [9] Long page, long-page.html, This is a long page, class ui.pageObjects.LongPagePage",""
"passed","Fri Sep 19 01:41:33 GMT 2025","Fri Sep 19 01:41:34 GMT 2025","1268","","ui.tests.BrowserAgnosticFeaturesTests","","ui.tests.BrowserAgnosticFeaturesTests","saveLaunchModalDialogBoxTest","saveLaunchModalDialogBoxTest()",""
"broken","Fri Sep 19 01:42:27 GMT 2025","Fri Sep 19 01:42:27 GMT 2025","22","","ui.tests.WebFormTests","","ui.tests.WebFormTests","returnToIndexLinkTest","returnToIndexLinkTest()",""
"passed","Fri Sep 19 01:41:44 GMT 2025","Fri Sep 19 01:41:44 GMT 2025","672","","ui.tests.HeaderTests","","ui.tests.HeaderTests","HeaderDescriptionTest","HeaderDescriptionTest()",""
"broken","Fri Sep 19 01:42:27 GMT 2025","Fri Sep 19 01:42:27 GMT 2025","13","","ui.tests.WebFormTests","","ui.tests.WebFormTests","colorPickerTest","colorPickerTest()",""
"passed","Fri Sep 19 01:41:24 GMT 2025","Fri Sep 19 01:41:31 GMT 2025","7552","","ui.tests.BrowserAgnosticFeaturesTests","","ui.tests.BrowserAgnosticFeaturesTests","infiniteScrollTest","infiniteScrollTest()",""
"broken","Fri Sep 19 01:42:26 GMT 2025","Fri Sep 19 01:42:27 GMT 2025","24","","ui.tests.WebFormTests","","ui.tests.WebFormTests","boniGarciaLinkTest","boniGarciaLinkTest()",""
"passed","Fri Sep 19 01:41:54 GMT 2025","Fri Sep 19 01:41:55 GMT 2025","525","","ui.tests.HomePageTests","","ui.tests.HomePageTests","linksTest","linksTest(String, String, String, Class) [12] Cookies, cookies.html, Cookies, class ui.pageObjects.CookiesPage",""
"broken","Fri Sep 19 01:42:27 GMT 2025","Fri Sep 19 01:42:27 GMT 2025","29","","ui.tests.WebFormTests","","ui.tests.WebFormTests","dropdownDatalistTest","dropdownDatalistTest()",""
"passed","Fri Sep 19 01:41:55 GMT 2025","Fri Sep 19 01:41:56 GMT 2025","506","","ui.tests.HomePageTests","","ui.tests.HomePageTests","linksTest","linksTest(String, String, String, Class) [14] Dialog boxes, dialog-boxes.html, Dialog boxes, class ui.pageObjects.DialogBoxesPage",""
"broken","Fri Sep 19 01:42:27 GMT 2025","Fri Sep 19 01:42:27 GMT 2025","27","","ui.tests.WebFormTests","","ui.tests.WebFormTests","rangePickerTest","rangePickerTest()",""
"broken","Fri Sep 19 01:41:32 GMT 2025","Fri Sep 19 01:41:33 GMT 2025","1019","","ui.tests.BrowserAgnosticFeaturesTests","","ui.tests.BrowserAgnosticFeaturesTests","iFrameTest","iFrameTest()",""
"passed","Fri Sep 19 01:42:00 GMT 2025","Fri Sep 19 01:42:01 GMT 2025","645","","ui.tests.HomePageTests","","ui.tests.HomePageTests","linksTest","linksTest(String, String, String, Class) [22] Slow login, login-slow.html, Slow login form, class ui.pageObjects.SlowLoginFormPage",""
"passed","Fri Sep 19 01:41:45 GMT 2025","Fri Sep 19 01:41:47 GMT 2025","2025","","ui.tests.HeaderTests","","ui.tests.HeaderTests","logoTest","logoTest()",""
"broken","Fri Sep 19 01:42:27 GMT 2025","Fri Sep 19 01:42:27 GMT 2025","27","","ui.tests.WebFormTests","","ui.tests.WebFormTests","readOnlyTest","readOnlyTest()",""
"failed","Fri Sep 19 01:41:10 GMT 2025","Fri Sep 19 01:41:13 GMT 2025","2120","","api.UserApiTests","","api.UserApiTests","updateUserTest","updateUserTest()",""
"broken","Fri Sep 19 01:42:26 GMT 2025","Fri Sep 19 01:42:26 GMT 2025","10","","ui.tests.NavigationTests","","ui.tests.NavigationTests","nextButtonTest","nextButtonTest()",""
"passed","Fri Sep 19 01:41:22 GMT 2025","Fri Sep 19 01:41:23 GMT 2025","747","","ui.TrainingLocatorsTests","","ui.TrainingLocatorsTests","linksTest","linksTest()",""
"broken","Fri Sep 19 01:42:27 GMT 2025","Fri Sep 19 01:42:27 GMT 2025","24","","ui.tests.WebFormTests","","ui.tests.WebFormTests","textareaInputTest","textareaInputTest()",""
"skipped","Fri Sep 19 01:41:36 GMT 2025","Fri Sep 19 01:41:36 GMT 2025","0","","ui.tests.BrowserAgnosticFeaturesTests","","ui.tests.BrowserAgnosticFeaturesTests","localStorageTest","localStorageTest()",""
"passed","Fri Sep 19 01:41:34 GMT 2025","Fri Sep 19 01:41:35 GMT 2025","636","","ui.tests.BrowserAgnosticFeaturesTests","","ui.tests.BrowserAgnosticFeaturesTests","cancelLaunchPromptDialogBoxTest","cancelLaunchPromptDialogBoxTest()",""
"passed","Fri Sep 19 01:41:36 GMT 2025","Fri Sep 19 01:41:37 GMT 2025","1164","","ui.tests.BrowserAgnosticFeaturesTests","","ui.tests.BrowserAgnosticFeaturesTests","closeLaunchModalDialogBoxTest","closeLaunchModalDialogBoxTest()",""
"passed","Fri Sep 19 01:41:53 GMT 2025","Fri Sep 19 01:41:53 GMT 2025","657","","ui.tests.HomePageTests","","ui.tests.HomePageTests","linksTest","linksTest(String, String, String, Class) [10] Infinite scroll, infinite-scroll.html, Infinite scroll, class ui.pageObjects.InfiniteScrollPage",""
"broken","Fri Sep 19 01:42:26 GMT 2025","Fri Sep 19 01:42:26 GMT 2025","26","","ui.tests.WebFormTests","","ui.tests.WebFormTests","disabledInputTest","disabledInputTest()",""
"passed","Fri Sep 19 01:41:50 GMT 2025","Fri Sep 19 01:41:51 GMT 2025","640","","ui.tests.HomePageTests","","ui.tests.HomePageTests","linksTest","linksTest(String, String, String, Class) [6] Draw in canvas, draw-in-canvas.html, Drawing in canvas, class ui.pageObjects.DrawingInCanvasPage",""
"passed","Fri Sep 19 01:42:04 GMT 2025","Fri Sep 19 01:42:04 GMT 2025","723","","ui.tests.HomePageTests","","ui.tests.HomePageTests","frameTest","frameTest()",""
"passed","Fri Sep 19 01:41:56 GMT 2025","Fri Sep 19 01:41:57 GMT 2025","621","","ui.tests.HomePageTests","","ui.tests.HomePageTests","linksTest","linksTest(String, String, String, Class) [15] Web storage, web-storage.html, Web storage, class ui.pageObjects.WebStoragePage",""
"passed","Fri Sep 19 01:42:02 GMT 2025","Fri Sep 19 01:42:02 GMT 2025","537","","ui.tests.HomePageTests","","ui.tests.HomePageTests","linksTest","linksTest(String, String, String, Class) [24] Download files, download.html, Download files, class ui.pageObjects.DownloadFilesPage",""
"passed","Fri Sep 19 01:41:53 GMT 2025","Fri Sep 19 01:41:54 GMT 2025","617","","ui.tests.HomePageTests","","ui.tests.HomePageTests","linksTest","linksTest(String, String, String, Class) [11] Shadow DOM, shadow-dom.html, Shadow DOM, class ui.pageObjects.ShadowDomPage",""
"passed","Fri Sep 19 01:41:47 GMT 2025","Fri Sep 19 01:41:48 GMT 2025","598","","ui.tests.HomePageTests","","ui.tests.HomePageTests","linksTest","linksTest(String, String, String, Class) [1] Web form, web-form.html, Web form, class ui.pageObjects.WebFormPage",""
"passed","Fri Sep 19 01:41:19 GMT 2025","Fri Sep 19 01:41:21 GMT 2025","1338","","ui.TrainingLocatorsTests","","ui.TrainingLocatorsTests","logoTest","logoTest()",""
"passed","Fri Sep 19 01:41:51 GMT 2025","Fri Sep 19 01:41:51 GMT 2025","629","","ui.tests.HomePageTests","","ui.tests.HomePageTests","linksTest","linksTest(String, String, String, Class) [7] Loading images, loading-images.html, Loading images, class ui.pageObjects.LoadingImagesPage",""
