"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 17 01:42:14 GMT 2025","Fri Oct 17 01:42:16 GMT 2025","1907","","ui.tests.HeaderTests","","ui.tests.HeaderTests","logoTest","logoTest()",""
"passed","Fri Oct 17 01:48:04 GMT 2025","Fri Oct 17 01:48:05 GMT 2025","1095","","ui.tests.WebFormTests","","ui.tests.WebFormTests","textareaInputTest","textareaInputTest()",""
"passed","Fri Oct 17 01:48:06 GMT 2025","Fri Oct 17 01:48:07 GMT 2025","720","","ui.tests.WebFormTests","","ui.tests.WebFormTests","dropdownSelectTest","dropdownSelectTest()",""
"passed","Fri Oct 17 01:42:26 GMT 2025","Fri Oct 17 01:42:27 GMT 2025","552","","ui.tests.HomePageTests","","ui.tests.HomePageTests","linksTest","linksTest(String, String, String, Class) [19] Multilanguage, multilanguage.html, Multilanguage page, class ui.pageObjects.MultilanguagePage",""
"passed","Fri Oct 17 01:42:29 GMT 2025","Fri Oct 17 01:42:30 GMT 2025","545","","ui.tests.HomePageTests","","ui.tests.HomePageTests","linksTest","linksTest(String, String, String, Class) [25] A/B Testing, ab-testing.html, A/B Testing, class ui.pageObjects.ABTestingPage",""
"passed","Fri Oct 17 01:42:04 GMT 2025","Fri Oct 17 01:42:05 GMT 2025","652","","ui.tests.BrowserAgnosticFeaturesTests","","ui.tests.BrowserAgnosticFeaturesTests","launchAlertDialogBoxTest","launchAlertDialogBoxTest()",""
"passed","Fri Oct 17 01:42:00 GMT 2025","Fri Oct 17 01:42:01 GMT 2025","753","","ui.tests.BrowserAgnosticFeaturesTests","","ui.tests.BrowserAgnosticFeaturesTests","cookieTest","cookieTest()",""
"passed","Fri Oct 17 01:41:51 GMT 2025","Fri Oct 17 01:41:51 GMT 2025","566","","ui.TrainingLocatorsTests","","ui.TrainingLocatorsTests","pickersTest","pickersTest()",""
"passed","Fri Oct 17 01:48:00 GMT 2025","Fri Oct 17 01:48:00 GMT 2025","617","","ui.tests.WebFormTests","","ui.tests.WebFormTests","checkboxTest","checkboxTest()",""
"passed","Fri Oct 17 01:42:20 GMT 2025","Fri Oct 17 01:42:21 GMT 2025","677","","ui.tests.HomePageTests","","ui.tests.HomePageTests","linksTest","linksTest(String, String, String, Class) [8] Slow calculator, slow-calculator.html, Slow calculator, class ui.pageObjects.SlowCalculatorPage",""
"passed","Fri Oct 17 01:42:03 GMT 2025","Fri Oct 17 01:42:04 GMT 2025","665","","ui.tests.BrowserAgnosticFeaturesTests","","ui.tests.BrowserAgnosticFeaturesTests","cancelLaunchPromptDialogBoxTest","cancelLaunchPromptDialogBoxTest()",""
"skipped","Fri Oct 17 01:42:05 GMT 2025","Fri Oct 17 01:42:05 GMT 2025","0","","ui.tests.BrowserAgnosticFeaturesTests","","ui.tests.BrowserAgnosticFeaturesTests","localStorageTest","localStorageTest()",""
"passed","Fri Oct 17 01:42:11 GMT 2025","Fri Oct 17 01:42:12 GMT 2025","710","","ui.tests.DropdownMenuTests","","ui.tests.DropdownMenuTests","rightClickTest","rightClickTest()",""
"passed","Fri Oct 17 01:47:59 GMT 2025","Fri Oct 17 01:48:00 GMT 2025","637","","ui.tests.WebFormTests","","ui.tests.WebFormTests","dropdownDefaultOptionTest","dropdownDefaultOptionTest()",""
"passed","Fri Oct 17 01:47:56 GMT 2025","Fri Oct 17 01:47:57 GMT 2025","829","","ui.tests.NavigationTests","","ui.tests.NavigationTests","nextButtonTest","nextButtonTest()",""
"passed","Fri Oct 17 01:41:39 GMT 2025","Fri Oct 17 01:41:42 GMT 2025","2882","","api.FileTests","","api.FileTests","uploadFileTest","uploadFileTest()",""
"passed","Fri Oct 17 01:42:29 GMT 2025","Fri Oct 17 01:42:29 GMT 2025","541","","ui.tests.HomePageTests","","ui.tests.HomePageTests","linksTest","linksTest(String, String, String, Class) [24] Download files, download.html, Download files, class ui.pageObjects.DownloadFilesPage",""
"passed","Fri Oct 17 01:42:24 GMT 2025","Fri Oct 17 01:42:25 GMT 2025","551","","ui.tests.HomePageTests","","ui.tests.HomePageTests","linksTest","linksTest(String, String, String, Class) [16] Geolocation, geolocation.html, Geolocation, class ui.pageObjects.GeolocationPage",""
"passed","Fri Oct 17 01:42:13 GMT 2025","Fri Oct 17 01:42:14 GMT 2025","640","","ui.tests.HeaderTests","","ui.tests.HeaderTests","HeaderTitleTest","HeaderTitleTest()",""
"passed","Fri Oct 17 01:42:17 GMT 2025","Fri Oct 17 01:42:17 GMT 2025","531","","ui.tests.HomePageTests","","ui.tests.HomePageTests","linksTest","linksTest(String, String, String, Class) [3] Dropdown menu, dropdown-menu.html, Dropdown menu, class ui.pageObjects.DropdownMenuPage",""
"passed","Fri Oct 17 01:42:31 GMT 2025","Fri Oct 17 01:42:34 GMT 2025","2925","","ui.tests.LoadingImagesSelenideTests","","ui.tests.LoadingImagesSelenideTests","loadingImagesTest","loadingImagesTest(String) [1] compass",""
"passed","Fri Oct 17 01:42:17 GMT 2025","Fri Oct 17 01:42:18 GMT 2025","615","","ui.tests.HomePageTests","","ui.tests.HomePageTests","linksTest","linksTest(String, String, String, Class) [4] Mouse over, mouse-over.html, Mouse over, class ui.pageObjects.MouseOverPage",""
"passed","Fri Oct 17 01:48:10 GMT 2025","Fri Oct 17 01:48:11 GMT 2025","576","","ui.tests.WebFormTests","","ui.tests.WebFormTests","optionsListTest","optionsListTest()",""
"passed","Fri Oct 17 01:42:09 GMT 2025","Fri Oct 17 01:42:09 GMT 2025","652","","ui.tests.DownloadFileTests","","ui.tests.DownloadFileTests","DownloadPngFileTest","DownloadPngFileTest()",""
"passed","Fri Oct 17 01:42:23 GMT 2025","Fri Oct 17 01:42:24 GMT 2025","518","","ui.tests.HomePageTests","","ui.tests.HomePageTests","linksTest","linksTest(String, String, String, Class) [14] Dialog boxes, dialog-boxes.html, Dialog boxes, class ui.pageObjects.DialogBoxesPage",""
"passed","Fri Oct 17 01:42:07 GMT 2025","Fri Oct 17 01:42:09 GMT 2025","1221","","ui.tests.DownloadFileTests","","ui.tests.DownloadFileTests","DownloadPdfFileTest","DownloadPdfFileTest()",""
"passed","Fri Oct 17 01:42:34 GMT 2025","Fri Oct 17 01:42:38 GMT 2025","4294","","ui.tests.LoadingImagesSelenideTests","","ui.tests.LoadingImagesSelenideTests","loadingImagesTest","loadingImagesTest(String) [2] calendar",""
"skipped","Fri Oct 17 01:42:53 GMT 2025","Fri Oct 17 01:42:53 GMT 2025","0","","ui.tests.LoginFormPlaywrightTests","","ui.tests.LoginFormPlaywrightTests","invalidCredentialsTest","invalidCredentialsTest(String, String)",""
"passed","Fri Oct 17 01:42:31 GMT 2025","Fri Oct 17 01:42:31 GMT 2025","643","","ui.tests.HomePageTests","","ui.tests.HomePageTests","frameTest","frameTest()",""
"passed","Fri Oct 17 01:48:02 GMT 2025","Fri Oct 17 01:48:03 GMT 2025","644","","ui.tests.WebFormTests","","ui.tests.WebFormTests","returnToIndexLinkTest","returnToIndexLinkTest()",""
"failed","Fri Oct 17 01:41:44 GMT 2025","Fri Oct 17 01:41:45 GMT 2025","710","","api.UserApiTests","","api.UserApiTests","updateUserTest","updateUserTest()",""
"passed","Fri Oct 17 01:48:08 GMT 2025","Fri Oct 17 01:48:09 GMT 2025","648","","ui.tests.WebFormTests","","ui.tests.WebFormTests","passwordInputTest","passwordInputTest()",""
"passed","Fri Oct 17 01:42:01 GMT 2025","Fri Oct 17 01:42:02 GMT 2025","681","","ui.tests.BrowserAgnosticFeaturesTests","","ui.tests.BrowserAgnosticFeaturesTests","iFrameTest","iFrameTest()",""
"passed","Fri Oct 17 01:42:27 GMT 2025","Fri Oct 17 01:42:27 GMT 2025","559","","ui.tests.HomePageTests","","ui.tests.HomePageTests","linksTest","linksTest(String, String, String, Class) [20] Console logs, console-logs.html, Console logs, class ui.pageObjects.ConsoleLogsPage",""
"passed","Fri Oct 17 01:42:30 GMT 2025","Fri Oct 17 01:42:31 GMT 2025","560","","ui.tests.HomePageTests","","ui.tests.HomePageTests","linksTest","linksTest(String, String, String, Class) [26] Data types, data-types.html, Data types, class ui.pageObjects.DataTypesPage",""
"passed","Fri Oct 17 01:42:10 GMT 2025","Fri Oct 17 01:42:11 GMT 2025","659","","ui.tests.DropdownMenuTests","","ui.tests.DropdownMenuTests","leftClickTest","leftClickTest()",""
"passed","Fri Oct 17 01:41:42 GMT 2025","Fri Oct 17 01:41:43 GMT 2025","1246","","api.FileTests","","api.FileTests","testDownloadHttpClient","testDownloadHttpClient()",""
"passed","Fri Oct 17 01:48:02 GMT 2025","Fri Oct 17 01:48:02 GMT 2025","585","","ui.tests.WebFormTests","","ui.tests.WebFormTests","dropdownDatalistTest","dropdownDatalistTest()",""
"passed","Fri Oct 17 01:42:06 GMT 2025","Fri Oct 17 01:42:07 GMT 2025","676","","ui.tests.BrowserAgnosticFeaturesTests","","ui.tests.BrowserAgnosticFeaturesTests","acceptLaunchPromptDialogBoxTest","acceptLaunchPromptDialogBoxTest()",""
"passed","Fri Oct 17 01:42:19 GMT 2025","Fri Oct 17 01:42:19 GMT 2025","584","","ui.tests.HomePageTests","","ui.tests.HomePageTests","linksTest","linksTest(String, String, String, Class) [6] Draw in canvas, draw-in-canvas.html, Drawing in canvas, class ui.pageObjects.DrawingInCanvasPage",""
"passed","Fri Oct 17 01:41:43 GMT 2025","Fri Oct 17 01:41:44 GMT 2025","712","","api.UserApiTests","","api.UserApiTests","createDefaultUserExtendedTest","createDefaultUserExtendedTest()",""
"passed","Fri Oct 17 01:48:00 GMT 2025","Fri Oct 17 01:48:01 GMT 2025","842","","ui.tests.WebFormTests","","ui.tests.WebFormTests","boniGarciaLinkTest","boniGarciaLinkTest()",""
"passed","Fri Oct 17 01:42:27 GMT 2025","Fri Oct 17 01:42:28 GMT 2025","576","","ui.tests.HomePageTests","","ui.tests.HomePageTests","linksTest","linksTest(String, String, String, Class) [21] Login form, login-form.html, Login form, class ui.pageObjects.LoginFormPage",""
"passed","Fri Oct 17 01:42:23 GMT 2025","Fri Oct 17 01:42:23 GMT 2025","541","","ui.tests.HomePageTests","","ui.tests.HomePageTests","linksTest","linksTest(String, String, String, Class) [13] IFrames, iframes.html, IFrame, class ui.pageObjects.IFramePage",""
"passed","Fri Oct 17 01:45:53 GMT 2025","Fri Oct 17 01:47:55 GMT 2025","121570","","ui.tests.LoginFormTests","","ui.tests.LoginFormTests","invalidCredentialsTest","invalidCredentialsTest(String, String) [2]         ,         ",""
