"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Aug 15 01:54:14 GMT 2025","Fri Aug 15 01:54:14 GMT 2025","425","","api.UserApiTests","","api.UserApiTests","createDefaultUserExtendedTest","createDefaultUserExtendedTest()",""
"passed","Fri Aug 15 02:00:46 GMT 2025","Fri Aug 15 02:00:47 GMT 2025","1007","","ui.tests.WebFormTests","","ui.tests.WebFormTests","textareaInputTest","textareaInputTest()",""
"passed","Fri Aug 15 01:54:42 GMT 2025","Fri Aug 15 01:54:44 GMT 2025","1929","","ui.tests.HeaderTests","","ui.tests.HeaderTests","logoTest","logoTest()",""
"passed","Fri Aug 15 01:54:15 GMT 2025","Fri Aug 15 01:54:15 GMT 2025","177","","api.UserApiTests","","api.UserApiTests","createDefaultUserTest","createDefaultUserTest()",""
"passed","Fri Aug 15 01:54:19 GMT 2025","Fri Aug 15 01:54:19 GMT 2025","518","","ui.TrainingLocatorsTests","","ui.TrainingLocatorsTests","selectorsTest","selectorsTest()",""
"passed","Fri Aug 15 01:54:46 GMT 2025","Fri Aug 15 01:54:47 GMT 2025","633","","ui.tests.HomePageTests","","ui.tests.HomePageTests","linksTest","linksTest(String, String, String, Class) [4] Mouse over, mouse-over.html, Mouse over, class ui.pageObjects.MouseOverPage",""
"passed","Fri Aug 15 01:54:40 GMT 2025","Fri Aug 15 01:54:41 GMT 2025","756","","ui.tests.DropdownMenuTests","","ui.tests.DropdownMenuTests","doubleClickTest","doubleClickTest()",""
"passed","Fri Aug 15 01:54:50 GMT 2025","Fri Aug 15 01:54:51 GMT 2025","582","","ui.tests.HomePageTests","","ui.tests.HomePageTests","linksTest","linksTest(String, String, String, Class) [11] Shadow DOM, shadow-dom.html, Shadow DOM, class ui.pageObjects.ShadowDomPage",""
"passed","Fri Aug 15 02:00:45 GMT 2025","Fri Aug 15 02:00:45 GMT 2025","680","","ui.tests.WebFormTests","","ui.tests.WebFormTests","returnToIndexLinkTest","returnToIndexLinkTest()",""
"passed","Fri Aug 15 01:54:39 GMT 2025","Fri Aug 15 01:54:39 GMT 2025","716","","ui.tests.DropdownMenuTests","","ui.tests.DropdownMenuTests","leftClickTest","leftClickTest()",""
"passed","Fri Aug 15 02:00:52 GMT 2025","Fri Aug 15 02:00:53 GMT 2025","1011","","ui.tests.WebFormTests","","ui.tests.WebFormTests","movingRangePickerTest","movingRangePickerTest()",""
"passed","Fri Aug 15 01:54:57 GMT 2025","Fri Aug 15 01:54:57 GMT 2025","603","","ui.tests.HomePageTests","","ui.tests.HomePageTests","linksTest","linksTest(String, String, String, Class) [22] Slow login, login-slow.html, Slow login form, class ui.pageObjects.SlowLoginFormPage",""
"passed","Fri Aug 15 01:54:48 GMT 2025","Fri Aug 15 01:54:49 GMT 2025","577","","ui.tests.HomePageTests","","ui.tests.HomePageTests","linksTest","linksTest(String, String, String, Class) [7] Loading images, loading-images.html, Loading images, class ui.pageObjects.LoadingImagesPage",""
"passed","Fri Aug 15 02:00:53 GMT 2025","Fri Aug 15 02:00:54 GMT 2025","640","","ui.tests.WebFormTests","","ui.tests.WebFormTests","optionsListTest","optionsListTest()",""
