"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 26 01:41:23 GMT 2025","Fri Sep 26 01:41:26 GMT 2025","2986","","ui.tests.LoadingImagesSelenideTests","","ui.tests.LoadingImagesSelenideTests","loadingImagesTest","loadingImagesTest(String) [1] compass",""
"passed","Fri Sep 26 01:41:12 GMT 2025","Fri Sep 26 01:41:12 GMT 2025","618","","ui.tests.HomePageTests","","ui.tests.HomePageTests","linksTest","linksTest(String, String, String, Class) [11] Shadow DOM, shadow-dom.html, Shadow DOM, class ui.pageObjects.ShadowDomPage",""
"broken","Fri Sep 26 01:41:45 GMT 2025","Fri Sep 26 01:41:45 GMT 2025","13","","ui.tests.WebFormTests","","ui.tests.WebFormTests","passwordInputTest","passwordInputTest()",""
"passed","Fri Sep 26 01:41:22 GMT 2025","Fri Sep 26 01:41:23 GMT 2025","778","","ui.tests.HomePageTests","","ui.tests.HomePageTests","frameTest","frameTest()",""
"passed","Fri Sep 26 01:41:12 GMT 2025","Fri Sep 26 01:41:13 GMT 2025","658","","ui.tests.HomePageTests","","ui.tests.HomePageTests","linksTest","linksTest(String, String, String, Class) [12] Cookies, cookies.html, Cookies, class ui.pageObjects.CookiesPage",""
"passed","Fri Sep 26 01:40:48 GMT 2025","Fri Sep 26 01:40:49 GMT 2025","887","","ui.tests.BrowserAgnosticFeaturesTests","","ui.tests.BrowserAgnosticFeaturesTests","cookieTest","cookieTest()",""
"passed","Fri Sep 26 01:40:53 GMT 2025","Fri Sep 26 01:40:55 GMT 2025","1223","","ui.tests.BrowserAgnosticFeaturesTests","","ui.tests.BrowserAgnosticFeaturesTests","closeLaunchModalDialogBoxTest","closeLaunchModalDialogBoxTest()",""
"passed","Fri Sep 26 01:41:18 GMT 2025","Fri Sep 26 01:41:19 GMT 2025","652","","ui.tests.HomePageTests","","ui.tests.HomePageTests","linksTest","linksTest(String, String, String, Class) [21] Login form, login-form.html, Login form, class ui.pageObjects.LoginFormPage",""
"skipped","Fri Sep 26 01:40:53 GMT 2025","Fri Sep 26 01:40:53 GMT 2025","0","","ui.tests.BrowserAgnosticFeaturesTests","","ui.tests.BrowserAgnosticFeaturesTests","localStorageTest","localStorageTest()",""
"passed","Fri Sep 26 01:40:23 GMT 2025","Fri Sep 26 01:40:26 GMT 2025","2690","","api.FileTests","","api.FileTests","testDownloadHttpClient","testDownloadHttpClient()",""
"broken","Fri Sep 26 01:41:45 GMT 2025","Fri Sep 26 01:41:45 GMT 2025","10","","ui.tests.WebFormTests","","ui.tests.WebFormTests","textareaInputTest","textareaInputTest()",""
